,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,s_score,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters
84488,5,6.5788598,4.90309,5.7168503,2.2516007,3.9490621,5,0,-0.75,0.6,0.0,0.0,0.0,0.2,0
58160,3,8.9566164,5.913907099999999,8.0886402,1.6638709999999999,5.4701948,5,0,-1.1382517,0.4,0.0,0.2,0.0,0.0,0
106183,6,9.973972300000002,6.3934488,11.470008,3.589035,6.0360917999999995,5,0,-0.86363637,0.8,0.2,0.0,0.0,0.0,0
106039,2,9.7352314,5.840646700000001,8.298027000000001,3.1193156,5.8202648,5,0,-1.8907466,0.8,0.0,0.2,0.0,0.0,0
45733,0,15.559603,8.6210213,14.103107000000001,10.606219,12.527609,4,0,-1.45,0.25,0.0,0.0,0.0,0.0,2
78445,0,10.847226,7.0380421,13.740088,5.0216117,7.630127900000001,4,0,-1.1571428999999998,0.5,0.0,0.0,0.0,0.0,2
104397,17,5.719665099999999,3.4854665000000002,3.8840566,3.2643204,3.6560912000000005,5,0,-1.4833333,0.8,0.2,0.0,0.0,0.0,0
27787,0,10.547962,6.751890700000001,12.777772,4.2777319,9.815272300000002,5,0,-1.4533334,0.2,0.2,0.0,0.0,0.0,2
73288,0,3.3694873,3.3694873,9.5250854,8.770669900000001,9.147877699999999,2,0,-1.6363636000000001,0.5,0.0,0.0,0.0,0.0,0
53766,0,16.107979,10.907109,15.552526,5.267014499999999,9.6249199,3,0,-0.625,0.333333333,0.0,0.0,0.0,0.0,2
104101,10,4.0079823,2.4807646,9.1194782,5.409621700000001,6.829103900000001,5,0,-3.3813729,0.8,0.0,0.0,0.0,0.0,0
16995,0,15.014398000000002,9.4830952,7.7964106,4.7061958,6.8235206999999996,4,0,-2.1885235,0.0,0.25,0.25,0.0,0.0,2
31031,0,12.674425999999999,8.123634299999999,10.628027000000001,5.7388224999999995,8.6055183,5,0,-2.4004924,0.2,0.0,0.0,0.0,0.8,2
108171,1,13.867091,7.3449697,8.029342699999999,5.3252153,6.7833972000000005,5,0,-2.0897629,0.8,0.0,0.0,0.0,0.0,2
104265,8,5.0432439,3.3094794999999997,4.0942426,2.4647353,3.3090288999999995,5,0,-2.6907412999999996,0.8,0.0,0.0,0.0,0.0,0
9235,0,10.403658,7.3785334,8.8223352,3.930532,6.3002434,3,0,-0.65714288,0.0,0.0,0.0,0.0,0.0,0
106571,2,10.615261,7.0169497000000005,6.7470775,4.402100099999999,5.509936799999999,5,0,-3.4076172999999996,0.8,0.2,0.0,0.0,0.0,0
87648,16,10.258997,6.787269599999999,8.7308578,3.2175786,5.9471011,5,0,-1.3454546,0.6,0.0,0.0,0.0,0.0,0
104947,43,7.3618259,4.1222199999999996,4.2206678,3.0109383999999997,3.4365704,5,0,-1.8140496,0.8,0.2,0.0,0.0,0.0,3
28818,1,11.238456,6.7510977,11.862199,4.0698977,9.4296446,5,0,-0.46666667,0.2,0.2,0.0,0.0,0.0,2
639,0,2.2289212000000003,2.2289212000000003,8.2466822,6.429111499999999,7.337896799999999,2,0,-0.61666667,0.0,0.5,0.0,0.0,0.0,0
78581,0,11.019363,5.9292254,8.9379988,7.786327799999999,8.3286905,4,0,-4.903307900000001,0.5,0.25,0.25,0.0,0.0,2
84374,2,6.3529954,3.8731899,9.8214216,5.917919599999999,7.582672099999999,5,0,-0.81538463,0.6,0.0,0.0,0.0,0.0,0
84512,2,6.621659299999999,3.2684498,7.932858500000001,4.0914454,5.276852099999999,5,0,-2.7344871,0.6,0.0,0.0,0.0,0.0,0
41096,3,8.051487,6.4010553,11.71325,5.8130918,8.617966699999998,4,0,-4.410650700000001,0.25,0.0,0.5,0.0,0.0,0
68755,0,16.659167999999998,9.111214599999998,13.456569,2.74418,6.6056838,5,0,-2.3555555,0.4,0.2,0.0,0.0,0.0,2
57139,26,8.1070948,5.1943989,4.468888300000001,2.4271903,3.6663489,5,0,-0.12857144,0.4,0.0,0.0,0.0,0.0,3
111791,42,5.8920703,3.2110775,11.209044,5.5617428,7.994736200000001,5,1,-1.0592808,1.0,0.0,0.0,0.0,0.0,3
9039,1,10.307058999999999,6.7893386,7.4950871,2.5222547000000004,4.9641051,5,0,-3.3711991,0.0,0.2,0.4,0.0,0.0,0
112814,13,8.2671652,4.4950957,9.2822456,5.7251377,7.856719,5,1,-0.87,1.0,0.0,0.0,0.0,0.0,0
89167,6,11.583442999999999,8.0365305,15.195063000000001,6.635373599999999,11.280182,5,0,-1.025,0.6,0.0,0.0,0.0,0.0,2
5668,0,8.391680699999998,5.201254799999999,7.6621027,2.3142049,5.506463500000001,4,0,-0.41428572,0.0,0.0,0.0,0.0,0.5,0
56180,3,7.0929742,5.383011799999999,6.5181699,2.5492601,4.2786922,5,0,-1.5354348,0.4,0.0,0.0,0.0,0.4,0
104199,14,4.677958,2.8212116000000003,4.8897996,1.9663648999999999,3.4384239,5,0,-1.7914401999999998,0.8,0.0,0.0,0.0,0.0,0
66326,1,14.602523000000001,8.636508000000001,12.725577000000001,3.9806673999999997,7.8107858,5,0,-1.9714285,0.4,0.0,0.0,0.0,0.0,2
55957,3,6.7351227,4.7224994,5.358192900000001,2.3439732,3.9246392,5,0,-2.8336456,0.4,0.2,0.2,0.0,0.0,0
90257,5,12.57185,7.6603961,10.453548,4.8756385,7.912088400000001,5,0,-1.1181818000000001,0.6,0.2,0.0,0.0,0.0,2
90872,3,13.206147,7.8682451,10.383771000000001,4.6405587,7.0964035999999995,5,0,-0.86000001,0.6,0.0,0.0,0.0,0.0,2
13151,0,12.467713,7.013426299999999,11.663131,7.190146,9.681204800000001,5,0,-3.532315,0.0,0.2,0.0,0.0,0.6,2
84828,80,7.1449375,4.2094226,4.5738110999999995,1.0466266,3.0377374,5,0,-2.9113450000000003,0.6,0.2,0.0,0.0,0.0,1
36003,0,16.728176,7.4865947,11.44231,6.2130919,8.9448452,5,0,-2.4590011,0.2,0.0,0.8,0.0,0.0,2
63702,4,12.660153,6.092154,12.094049,2.997467,5.9767575,5,0,-0.98333335,0.4,0.2,0.0,0.2,0.0,2
26082,0,9.292705499999999,5.292597799999999,5.6988115,2.2924232000000004,3.5420074,5,0,-0.30000001,0.2,0.0,0.0,0.0,0.6,0
59536,12,9.9871397,5.7325897,7.1401566999999995,2.7418916,4.7863994000000005,5,0,-0.80000001,0.4,0.0,0.0,0.0,0.0,0
4227,0,7.291817699999999,5.5512156,9.6621866,7.6514773,8.828601800000001,3,0,-0.61666667,0.0,0.0,0.0,0.0,0.666666667,0
90660,5,12.96841,6.933291900000001,11.782065,5.5816956,8.336527799999999,5,0,-0.74285716,0.6,0.2,0.0,0.0,0.0,2
104297,29,5.2125645,3.2473612000000003,4.2728434,2.744694,3.5183976,5,0,-0.30000001,0.8,0.2,0.0,0.0,0.0,3
13149,0,12.466433,8.748160400000002,15.084416000000001,5.4332476,9.170718199999998,5,0,-1.71,0.0,0.4,0.0,0.0,0.0,2
