,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,s_score,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters
25124,0,8.4347048,4.6523194000000005,5.6767167999999995,3.4819598,4.643614299999999,5,0,-1.0428572,0.2,0.2,0.0,0.0,0.2,1
65141,0,13.7232,8.404545800000001,14.177306,2.5011997000000004,8.0958357,5,0,-1.8,0.4,0.2,0.0,0.0,0.0,2
56287,3,7.215199,3.8028181000000005,7.7155375,4.6029534000000005,6.2348242,5,0,-1.7777778000000002,0.4,0.2,0.0,0.0,0.0,1
89485,0,11.869989,7.2823977,14.697291,4.9244623,8.5234938,5,0,-0.75,0.6,0.2,0.0,0.0,0.0,2
108380,4,14.377514999999999,8.070034,13.863843,9.1104774,11.562771000000001,5,0,-1.1,0.8,0.0,0.0,0.0,0.0,2
58178,0,8.971094099999998,5.0445967000000005,6.5043410999999995,4.6153903,5.186509099999999,5,0,-2.5276339,0.4,0.0,0.4,0.0,0.0,1
96771,0,4.568236799999999,3.6211894,14.177306,12.524858,13.265485,3,0,-0.64999998,0.666666667,0.0,0.0,0.0,0.0,1
34293,0,15.154144,7.763857400000001,14.228847,7.274112700000001,9.081291199999999,5,0,-3.8208559,0.2,0.0,0.2,0.0,0.0,2
50699,0,9.7978964,7.4377198,11.22737,4.7191863,7.8400288,3,0,-1.06875,0.333333333,0.0,0.0,0.0,0.333333333,1
28011,0,10.69523,6.5222644999999995,15.535592000000001,7.7867122,12.030649,5,0,-3.0832057,0.2,0.0,0.0,0.0,0.6,2
55389,4,5.6666726999999995,3.1448593,8.1534681,4.7149258000000005,6.437942,5,0,-2.7947345,0.4,0.0,0.6,0.0,0.0,1
109682,0,18.14764,12.432147,13.077302,3.8843534,8.455881100000001,5,0,-0.56999999,0.8,0.2,0.0,0.0,0.0,2
48833,0,6.655804600000001,4.5722017,4.712597799999999,3.5527301,3.9539464,3,0,-1.2,0.333333333,0.333333333,0.0,0.0,0.0,1
112114,0,6.7542739,6.7542739,8.889569300000002,3.0867658,5.9881673,2,1,-0.175,1.0,0.0,0.0,0.0,0.0,1
108560,4,14.854215,7.8522897,9.297039999999999,4.414516000000001,6.709480800000001,5,0,-0.40000001,0.8,0.0,0.0,0.0,0.0,2
104178,144,4.541524400000001,2.6210572999999995,6.5915479999999995,4.8671389000000005,5.6321816,5,0,-1.4005218000000001,0.8,0.0,0.2,0.0,0.0,3
59937,5,10.285761,6.232975,10.994723,4.0702572,6.4726224000000006,5,0,-2.5833333,0.4,0.0,0.0,0.0,0.0,1
23729,1,6.663623299999999,4.091306200000001,4.920627099999999,2.9946299,4.3389573,5,0,-1.0866666999999999,0.2,0.2,0.0,0.0,0.6,1
39253,0,22.750857999999997,9.8460388,18.782682,5.6873832,8.7508669,5,0,-3.0652385,0.2,0.0,0.6,0.0,0.0,2
78576,0,11.015022,6.173800900000001,10.136809,5.366788400000001,7.0099092,4,0,-2.6696598999999996,0.5,0.0,0.5,0.0,0.0,1
5452,0,8.228441199999999,4.9069638,6.3738556,5.1344309,5.722494599999999,4,0,-2.0625,0.0,0.25,0.25,0.0,0.0,1
39803,0,2.2908318,2.0017223000000004,2.6925957,1.1307946000000002,1.908061,4,0,-0.2,0.25,0.0,0.0,0.0,0.75,1
45996,0,16.172773,11.078745,14.134985999999998,6.5718117,9.6216288,4,0,-1.6204236,0.25,0.25,0.0,0.0,0.0,2
105913,4,9.471927599999999,5.8905783,9.376853,3.2337492,4.9625635,5,0,-1.17,0.8,0.0,0.0,0.0,0.0,1
6456,4,8.8778019,5.6190337999999995,5.493711900000001,3.1938262,4.042133799999999,5,0,-2.3441231,0.0,0.2,0.0,0.0,0.0,1
86179,17,8.7665405,5.3805079000000005,5.9082227,1.6905574,3.9373562000000004,5,0,-0.16666667,0.6,0.0,0.0,0.0,0.0,1
20796,0,19.019979,10.86238,11.68479,10.542306,11.08668,5,0,-1.7571429,0.0,0.4,0.0,0.0,0.0,2
95256,0,19.248545,11.873565,16.064198,3.6003803999999997,8.4927349,5,0,-0.3125,0.6,0.0,0.0,0.2,0.0,2
103795,0,18.800209,11.948483,13.266420000000002,7.6706389999999995,9.9792633,4,0,-2.0620743999999998,0.75,0.0,0.0,0.0,0.25,2
