Receptor,Score Type,s_score,Hits,Enrichment,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,hyd,don,acc,donhyd,catdon,hydaro,aniacc,donacc,features,all_same,hyd_prop,don_prop,acc_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop,quality
5HT1B,dE(class),-0.2,11,0,14.777997,1.4728123,8.958395,10.749083,5.0763645,7.904839,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,0
5HT1B,dE,-2.41703,2,0,16.394461,1.1645132,10.052477,10.601196,4.5251694,8.3221264,1,3,0,0,1,2,0,0,7,0,0.142857143,0.428571429,0,0,0.142857143,0.285714286,0,0,0
5HT1B,dU(class),-0.259091,7,0,17.448446,0.7509377,9.8077917,10.749083,5.5635157,8.1789465,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
5HT1B,dU,-4.76385,-99999,0,4.5955496,0.54174346,2.3033302,9.6243925,7.7852659,8.4230347,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
5HT2B,dE(class),-0.366667,87,0.912590217,11.533735,0.65266377,5.5950651,7.7865977,3.9519479,6.2629485,6,1,0,0,0,0,0,0,7,0,0.857142857,0.142857143,0,0,0,0,0,0,0
5HT2B,dE,-3.09905,-99999,0,15.958681,0.97689557,9.7503462,11.335112,4.6195149,7.4904723,6,1,0,0,0,0,0,0,7,0,0.857142857,0.142857143,0,0,0,0,0,0,0
5HT2B,dU(class),-0.108333,18,0.735142119,14.334533,0.65266377,7.6881456,7.7865977,5.1793036,6.0932546,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
5HT2B,dU,-6.0816,-99999,0,4.2672906,0.7130428,2.0596275,9.0666437,7.2850819,8.2762594,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
5HT2C,dE(class),-1.30219,20,0.661627907,12.274061,0.92677397,6.9155111,8.6641617,3.7707212,5.9358664,3,1,1,0,1,0,0,1,7,0,0.428571429,0.142857143,0.142857143,0,0.142857143,0,0,0.142857143,0
5HT2C,dE,-3.95629,3,2.205426357,7.7615848,1.0472271,3.7594984,4.9886174,2.2732315,3.6270204,0,1,0,0,4,2,0,0,7,0,0,0.142857143,0,0,0.571428571,0.285714286,0,0,1
5HT2C,dU(class),-0.316667,30,0.441085271,11.444683,0.13321474,5.7764959,8.079381,3.3560894,5.3478794,5,0,2,0,0,0,0,0,7,0,0.714285714,0,0.285714286,0,0,0,0,0,0
5HT2C,dU,-4.29678,-99999,0,5.6832442,0.20224737,3.3891847,4.9096828,2.6624832,3.9307621,2,0,0,0,5,0,0,0,7,0,0.285714286,0,0,0,0.714285714,0,0,0,0
A2A,dE(class),-1.12222,70,1.121182266,10.111151,1.5324885,6.5251384,6.1245971,3.827318,5.1387,3,0,2,0,0,1,0,1,7,0,0.428571429,0,0.285714286,0,0,0.142857143,0,0.142857143,0
A2A,dE,-1.00833,158,0.6209079,10.898169,2.6907358,5.7911673,7.1928763,2.0663736,4.6987486,3,0,2,0,0,1,0,1,7,0,0.428571429,0,0.285714286,0,0,0.142857143,0,0.142857143,0
A2A,dU(class),-0.1,23,0,15.153275,1.1655952,7.6671844,10.404747,4.6175466,7.6230569,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
A2A,dU,-3.72357,157,0.999780365,7.7928762,0.87605709,4.7681007,9.8637495,3.6521754,6.3554144,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
A2C,dE(class),-0.58125,132,0.808238636,7.9078031,1.0460922,4.159831,8.6265497,1.5762047,4.5510964,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,0
A2C,dE,-4.9885,1,0,11.595148,1.0712175,7.6823382,8.7283621,1.8813845,5.9023485,0,1,0,0,4,1,0,1,7,0,0,0.142857143,0,0,0.571428571,0.142857143,0,0.142857143,0
A2C,dU(class),-0.106667,145,0.858405172,7.4049954,1.1825762,3.7679513,5.2109952,1.5302311,3.2058234,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
A2C,dU,-6.74962,-99999,0,13.13256,0.74627477,7.6735892,10.533068,1.8813845,5.3694992,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
Beta 2,dE(class),-1.04,5,10.58604651,17.837337,2.7120407,8.7329845,10.064498,4.0576906,6.900806,3,1,1,0,1,0,0,1,7,0,0.428571429,0.142857143,0.142857143,0,0.142857143,0,0,0.142857143,1
Beta 2,dE,-3.12773,-99999,0,15.870665,2.4395158,8.8029575,10.369191,4.0576906,7.7215285,1,0,2,0,3,0,0,1,7,0,0.142857143,0,0.285714286,0,0.428571429,0,0,0.142857143,0
Beta 2,dU(class),-1.5779,10,0,15.437044,0.66412967,8.0906096,9.3597488,6.8909693,7.9228745,2,1,1,0,1,2,0,0,7,0,0.285714286,0.142857143,0.142857143,0,0.142857143,0.285714286,0,0,0
Beta 2,dU,-6.35411,-99999,0,4.6383209,0.57491392,2.095546,9.4101839,8.1397038,8.8508205,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
H1,dE(class),-0.45,73,0.152833736,6.3716474,1.1668242,2.8200796,7.8244381,5.3252153,6.4776225,5,1,0,0,0,1,0,0,7,0,0.714285714,0.142857143,0,0,0,0.142857143,0,0,0
H1,dE,-4.26153,-99999,0,10.122565,0.71503025,3.9901295,8.1258125,4.5861125,6.9808288,2,0,0,0,5,0,0,0,7,0,0.285714286,0,0,0,0.714285714,0,0,0,0
H1,dU(class),-1.6064,17,0,11.866706,1.1679881,7.472609,8.2246542,5.3701162,6.6177397,4,1,0,0,1,1,0,0,7,0,0.571428571,0.142857143,0,0,0.142857143,0.142857143,0,0,0
H1,dU,-4.03928,4,2.789215686,10.004568,0.6582849,4.0087914,8.1754122,4.5861125,7.0560002,3,0,0,0,4,0,0,0,7,0,0.428571429,0,0,0,0.571428571,0,0,0,1
M1,dE(class),-0.573333,5,4.947826087,15.21464,1.5312704,9.8374758,8.721159,3.4673228,7.0555687,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,1
M1,dE,-4.60567,1,0,3.3152905,0.69825387,1.9966233,7.0092931,4.1757498,5.9750485,0,3,0,0,2,2,0,0,7,0,0,0.428571429,0,0,0.285714286,0.285714286,0,0,0
M1,dU(class),-2.90345,16,2.061594203,15.070384,1.5312704,8.3672552,8.721159,3.4673228,6.9742999,5,0,1,0,1,0,0,0,7,0,0.714285714,0,0.142857143,0,0.142857143,0,0,0,1
M1,dU,-6.72679,-99999,0,4.8662829,0.12852801,2.7626727,8.7238283,6.04603,7.4878111,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
M2,dE(class),-0.947222,3,10.73584906,10.727706,0.15925643,6.1530848,10.159136,2.6983023,5.5574622,1,3,2,0,0,1,0,0,7,0,0.142857143,0.428571429,0.285714286,0,0,0.142857143,0,0,1
M2,dE,-0.94,1,10.73584906,16.428482,0.15925643,6.4405904,9.6859398,2.6983023,5.0900803,1,3,2,0,0,1,0,0,7,0,0.142857143,0.428571429,0.285714286,0,0,0.142857143,0,0,1
M2,dU(class),-0.1,139,1.235781186,11.568931,1.6943507,6.4211202,7.757431,2.4160342,5.889257,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
M2,dU,-4.52,-99999,0,3.8346646,0.58669281,2.080905,8.557478,5.6529856,6.8281894,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
M4,dE(class),-0.1125,99,0.907496013,11.474065,0.73048931,6.071701,8.1142197,3.9042709,5.4245868,6,0,0,0,0,1,0,0,7,0,0.857142857,0,0,0,0,0.142857143,0,0,0
M4,dE,-0.114286,133,1.27595304,11.073898,1.4545701,6.219234,6.7439737,3.9042709,5.2322116,6,0,0,0,0,1,0,0,7,0,0.857142857,0,0,0,0,0.142857143,0,0,0
M4,dU(class),-1.65,57,0.875654047,15.036624,1.1693492,8.0140839,8.9300785,3.1334169,5.8112473,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
M4,dU,-5.91718,4,0,9.357235,0.72479379,5.2971921,10.277767,8.2165174,9.4009094,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
OPRD,dE(class),-2.11646,136,1.287330317,10.51485,1.1513683,4.4728374,7.8259101,4.9590192,6.0429668,3,1,0,0,1,1,0,1,7,0,0.428571429,0.142857143,0,0,0.142857143,0.142857143,0,0.142857143,0
OPRD,dE,-4.43931,10,0,9.0188627,0.13442852,5.3494477,5.878253,4.3015928,5.4467068,2,1,0,0,3,1,0,0,7,0,0.285714286,0.142857143,0,0,0.428571429,0.142857143,0,0,0
OPRD,dU(class),-0.621429,169,1.122287968,6.1818871,1.339862,3.6427586,7.8259101,3.61043,5.6616173,3,1,1,0,0,1,0,1,7,0,0.428571429,0.142857143,0.142857143,0,0,0.142857143,0,0.142857143,0
OPRD,dU,-5.85192,-99999,0,3.7069924,0.16241445,1.6350839,6.40803,4.4950585,5.4569697,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
OPRK,dE(class),-0.935714,34,2.988445378,11.605652,1.1183617,5.2936969,9.3384333,5.808115,7.966239,4,1,1,0,1,0,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0.142857143,0,0,0,1
OPRK,dE,-3.93821,-99999,0,13.973829,1.162351,9.2927933,8.8213778,5.808115,7.2932653,0,1,1,0,4,1,0,0,7,0,0,0.142857143,0.142857143,0,0.571428571,0.142857143,0,0,0
OPRK,dU(class),-1.46188,8,0,14.154366,1.2389399,9.1620197,9.2171097,4.8855443,7.5467453,5,0,1,0,1,0,0,0,7,0,0.714285714,0,0.142857143,0,0.142857143,0,0,0,0
OPRK,dU,-5.06145,-99999,0,15.722771,1.2191751,8.8971949,8.4183683,3.9128516,7.2917008,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
OPRM,dE(class),-0.661538,368,1.254460623,5.9806814,0.77097988,3.7534003,5.4519372,2.4798608,3.6644495,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
OPRM,dE,-4.49983,-99999,0,12.728937,1.0030782,4.7909822,7.2324171,3.5477998,4.7569747,0,1,0,0,6,0,0,0,7,0,0,0.142857143,0,0,0.857142857,0,0,0,0
OPRM,dU(class),-0.589474,299,0.897646242,7.5264053,1.1091303,4.4118495,5.4519372,2.7437243,4.1624107,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,0
OPRM,dU,-4.46498,-99999,0,4.193697,1.0030782,2.1991129,6.8817434,3.4807837,4.7927241,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
