Receptor,Score Type,s_score,Hits,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,hyd,don,acc,donhyd,catdon,hydaro,aniacc,donacc,features,all_same,hyd_prop,don_prop,acc_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop,quality,EF
D2,rand,-1.5168031,19,12.438096,2.5346394,7.2570467,38.126717,26.800655,32.643265,4,0,1,0,0,0,0,0,5,0,0.8,0,0.2,0,0,0,0,0,0,0
D2,rand,-0.43125001,0,19.186485,2.2062743,10.420928,45.274994,27.336866,33.671238,1,1,1,0,0,0,2,0,5,0,0.2,0.2,0.2,0,0,0,0.4,0,0,-999
D2,rand,-0.85714287,8,10.822749,1.4475175,5.694232,40.721313,30.32592,34.016808,2,1,2,0,0,0,0,0,5,0,0.4,0.2,0.4,0,0,0,0,0,0,0.95407408
D2,rand,-0.25384617,52,7.5863481,2.5212173,4.6484766,41.294884,34.766777,37.863983,3,0,2,0,0,0,0,0,5,0,0.6,0,0.4,0,0,0,0,0,0,1.4992592
D2,rand,-3.7292354,0,6.3656845,0.77606446,4.3203025,37.524006,31.591053,33.811954,0,0,1,0,1,0,0,1,3,0,0,0,0.333333333,0,0.333333333,0,0,0.333333333,0,-999
D2,rand,-0.65384614,0,3.8517046,1.6622424,2.9559975,35.39035,34.311954,34.717392,0,0,2,0,0,0,0,2,4,0,0,0,0.5,0,0,0,0,0.5,0,-999
D2,rand,-0.25,0,13.523335,2.1020823,6.2812195,38.358154,29.252062,32.048672,2,0,2,0,0,0,0,1,5,0,0.4,0,0.4,0,0,0,0,0.2,0,-999
D2,rand,-1.3200001,0,13.022592,0.83562911,7.2399354,41.719158,30.210861,34.78175,3,2,0,0,0,0,0,0,5,0,0.6,0.4,0,0,0,0,0,0,0,-999
D2,rand,-0.57692307,0,3.2461317,2.203038,2.8687088,37.149979,35.168125,36.043671,0,1,2,0,0,0,0,0,3,0,0,0.333333333,0.666666667,0,0,0,0,0,0,-999
D2,rand,-0.38,0,7.1707501,1.3192532,4.1169343,36.181553,32.220852,33.815258,0,0,2,0,0,0,2,1,5,0,0,0,0.4,0,0,0,0.4,0.2,0,-999
D2,rand,-0.17,5,14.394617,2.3380497,9.5718031,42.451389,28.072304,34.841026,4,0,1,0,0,0,0,0,5,0,0.8,0,0.2,0,0,0,0,0,0,0
D2,rand,-0.69999999,0,15.154505,1.320905,8.5199795,41.467884,28.083513,36.356014,2,0,0,0,0,0,3,0,5,0,0.4,0,0,0,0,0,0.6,0,0,-999
D2,rand,-2.2833455,0,9.1212044,1.3197364,5.3183365,39.149208,31.687925,34.331348,0,1,1,0,0,0,2,1,5,0,0,0.2,0.2,0,0,0,0.4,0.2,0,-999
D2,rand,-0.38181818,0,12.392277,3.0060422,7.4179349,46.484863,34.76667,38.75703,1,0,1,0,0,0,1,1,4,0,0.25,0,0.25,0,0,0,0.25,0.25,0,-999
D2,rand,-2.6616306,9,7.8832006,0.922521,4.3541851,36.279305,32.238335,34.23555,1,1,3,0,0,0,0,0,5,0,0.2,0.2,0.6,0,0,0,0,0,0,0
D2,rand,-0.14,78,7.4038696,1.4842861,4.6324792,35.675232,29.600584,32.483311,5,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0.88827586
D2,rand,-2.549696,35,5.7039165,1.0283335,3.2797902,38.04488,33.90147,35.642273,5,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
D2,rand,-0.35555556,0,11.251534,1.5316129,5.6559262,38.126717,27.735151,34.144291,3,0,1,0,0,0,1,0,5,0,0.6,0,0.2,0,0,0,0.2,0,0,-999
D2,rand,-3.4576964,0,5.1532874,1.5936879,3.5817096,35.812389,32.568344,34.226322,0,1,1,0,0,0,0,1,3,0,0,0.333333333,0.333333333,0,0,0,0,0.333333333,0,-999
D2,rand,-2.3127565,56,7.8275738,1.1956145,4.4109364,37.705048,32.336403,34.839458,4,1,0,0,0,0,0,0,5,0,0.8,0.2,0,0,0,0,0,0,0,0.83096772
D2,rand,-0.81901056,11,8.265645,2.1893914,4.3723125,38.293194,31.261135,34.886482,2,1,1,0,1,0,0,0,5,0,0.4,0.2,0.2,0,0.2,0,0,0,0,1.3210256
D2,rand,-1.6227617,0,8.1187639,1.3197364,5.0153689,34.698727,32.220852,33.542168,0,0,1,0,2,0,2,0,5,0,0,0,0.2,0,0.4,0,0.4,0,0,-999
