Receptor,Score Type,s_score,Hits,Enrichment,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,hyd,don,acc,donhyd,catdon,hydaro,aniacc,donacc,features,all_same,hyd_prop,don_prop,acc_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop,quality
5HT1B,dE(class),-3.0897,245,1.143359498,13.709977,0.57784295,6.6876101,8.4960241,4.1326795,5.5143566,5,0,0,0,1,0,0,1,7,0,0.714285714,0,0,0,0.142857143,0,0,0.142857143,0
5HT1B,dE,-4.76518,471,1.077968316,6.7926455,0.96731693,3.4341826,7.7152543,4.0236936,5.8934503,1,1,1,0,4,0,0,0,7,0,0.142857143,0.142857143,0.142857143,0,0.571428571,0,0,0,0
5HT1B,dU(class),-0.542857,32,1.094230769,12.557835,0.58412755,6.1818943,7.9052305,3.5019507,5.3478751,3,1,2,0,0,0,0,1,7,0,0.428571429,0.142857143,0.285714286,0,0,0,0,0.142857143,0
5HT1B,dU,-5.61736,3,2.917948718,7.5381956,1.0088607,4.1845498,6.9875569,3.8943837,5.2252235,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,1
5HT2B,dE(class),-0.890909,527,1.029477958,14.519863,0.91943789,7.9365406,9.5808125,4.2077699,7.7882109,4,1,1,0,0,0,0,1,7,0,0.571428571,0.142857143,0.142857143,0,0,0,0,0.142857143,0
5HT2B,dE,-5.78851,16,0.413517442,4.297873,0.59159005,2.6086793,6.1744189,3.1517696,4.4273453,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
5HT2B,dU(class),-0.51875,3,2.205426357,9.484704,2.328423,5.1889863,9.5808125,2.1117711,5.5083508,3,1,2,0,0,0,0,1,7,0,0.428571429,0.142857143,0.285714286,0,0,0,0,0.142857143,1
5HT2B,dU,-5.11069,19,0.348225214,12.335606,1.1087303,5.1281834,8.8374205,3.0198984,4.93504,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
5HT2C,dE(class),-1.80769,543,0.986958756,12.038429,1.3183523,5.8922806,7.6980534,2.544651,5.1749721,3,1,1,0,1,0,0,1,7,0,0.428571429,0.142857143,0.142857143,0,0.142857143,0,0,0.142857143,0
5HT2C,dE,-5.8134,15,0.441085271,10.42979,0.70404404,4.952589,5.9581733,3.5076048,4.555275,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
5HT2C,dU(class),-0.6125,46,1.006825076,11.086102,2.4803753,7.3774629,7.6980534,2.544651,5.5246754,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,0
5HT2C,dU,-4.02716,19,0.696450428,6.5625844,1.233,3.247453,9.2326584,6.1144233,7.7592349,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
A2A,dE(class),-1.495,5,3.924137931,4.2480969,0.68368268,2.5935621,7.4977889,5.091692,6.5028157,1,1,2,0,2,0,0,1,7,0,0.142857143,0.142857143,0.285714286,0,0.285714286,0,0,0.142857143,1
A2A,dE,-4.04578,37,6.363466915,14.149733,0.68368268,8.4048519,10.920286,4.9940543,7.7900658,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,1
A2A,dU(class),-2.25189,517,0.948776096,15.132504,1.4950458,8.5225782,10.574602,4.3620629,7.0096216,4,0,0,0,1,0,0,2,7,0,0.571428571,0,0,0,0.142857143,0,0,0.285714286,0
A2A,dU,-3.6209,20,4.905172414,7.4348936,0.90993243,3.9150357,9.7355661,4.7631264,8.0774755,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,1
A2C,dE(class),-0.635,563,1.010657194,14.36744,1.5291295,8.1441975,9.3474655,3.1515284,6.6780386,5,0,1,0,0,0,0,1,7,0,0.714285714,0,0.142857143,0,0,0,0,0.142857143,0
A2C,dE,-3.8525,82,2.602134146,15.536813,1.4929245,9.2909393,9.7143259,3.9912338,7.553369,1,0,1,0,5,0,0,0,7,0,0.142857143,0,0.142857143,0,0.714285714,0,0,0,1
A2C,dU(class),-1.32374,24,1.481770833,9.8270206,0.65634364,5.0656743,9.8666725,6.2954998,7.8656588,6,0,0,0,1,0,0,0,7,0,0.857142857,0,0,0,0.142857143,0,0,0,0
A2C,dU,-3.90721,66,2.15530303,12.831749,1.1462295,6.8727636,9.8666725,5.153759,8.4322166,3,0,0,0,4,0,0,0,7,0,0.428571429,0,0,0,0.571428571,0,0,0,1
Beta 2,dE(class),-0.7125,47,2.533894112,13.786921,1.4165138,7.0681429,8.5777521,1.7366073,5.0573378,3,1,2,0,0,0,0,1,7,0,0.428571429,0.142857143,0.285714286,0,0,0,0,0.142857143,1
Beta 2,dE,-4.5942,30,0.441085271,11.60029,1.0807303,6.9076195,6.1368895,3.7069426,5.0958848,0,0,1,0,6,0,0,0,7,0,0,0,0.142857143,0,0.857142857,0,0,0,0
Beta 2,dU(class),-2.22822,527,1.004368739,11.920474,0.17381231,6.6185236,6.1553144,2.6874983,5.306356,6,0,0,0,1,0,0,0,7,0,0.857142857,0,0,0,0.142857143,0,0,0,0
Beta 2,dU,-4.38651,42,0.315060908,5.3135977,0.75222605,2.4617035,8.182229,3.7069426,6.3068123,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
H1,dE(class),-0.299323,269,1.036883155,7.5679016,0.66536033,3.8465214,8.3150301,4.4076343,6.1375136,3,1,1,0,1,0,0,1,7,0,0.428571429,0.142857143,0.142857143,0,0.142857143,0,0,0.142857143,0
H1,dE,-1.03675,2,5.578431373,9.2907705,1.1613635,5.0618148,7.4657969,4.4076343,6.2360153,1,1,1,0,4,0,0,0,7,0,0.142857143,0.142857143,0.142857143,0,0.571428571,0,0,0,1
H1,dU(class),-1.03846,525,0.977553688,14.568364,1.5309997,7.3159575,8.2772055,3.7395203,5.7726765,4,1,1,0,0,0,0,1,7,0,0.571428571,0.142857143,0.142857143,0,0,0,0,0.142857143,0
H1,dU,-2.40647,91,0.367808662,10.86376,0.85242301,7.2054429,7.1821055,3.7395203,5.62921,0,1,1,0,5,0,0,0,7,0,0,0.142857143,0.142857143,0,0.714285714,0,0,0,0
M1,dE(class),-2.39552,561,0.94076313,7.9995532,0.89500672,4.4011593,9.4865141,5.0842309,7.2984133,2,1,1,0,1,0,0,2,7,0,0.285714286,0.142857143,0.142857143,0,0.142857143,0,0,0.285714286,0
M1,dE,-5.49153,9,1.83252818,15.732178,1.3463798,8.0291967,10.31328,5.0321321,6.8150434,2,0,0,0,5,0,0,0,7,0,0.285714286,0,0,0,0.714285714,0,0,0,0
M1,dU(class),-1.16667,568,1.001760563,7.1274724,1.2489492,3.7495606,8.8362551,4.1381431,5.9716721,3,1,2,0,0,0,0,1,7,0,0.428571429,0.142857143,0.285714286,0,0,0,0,0.142857143,0
M1,dU,-5.58506,34,0.485080989,15.293078,0.74066323,5.5377798,10.113561,5.0321321,6.2437043,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
M2,dE(class),-2.1024,1,10.73584906,14.649854,0.59200341,6.5075002,10.47641,0.9704445,6.6439176,5,0,0,0,1,0,0,1,7,0,0.714285714,0,0,0,0.142857143,0,0,0.142857143,1
M2,dE,-4.1964,7,3.067385445,14.571775,2.2021158,8.0334949,9.6575766,0.9704445,6.3565063,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,1
M2,dU(class),-2.78288,7,6.134770889,13.300939,1.5309467,8.1818781,10.03732,0.9704445,6.6615586,3,1,2,0,1,0,0,0,7,0,0.428571429,0.142857143,0.285714286,0,0.142857143,0,0,0,1
M2,dU,-4.80402,8,2.683962264,10.863884,0.77362847,5.9165988,9.199192,0.9704445,5.9979692,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,1
M4,dE(class),-1.16875,227,0.351804622,8.9957666,1.4454373,4.5571175,8.67309,2.8611438,5.8581257,0,1,2,0,0,0,0,4,7,0,0,0.142857143,0.285714286,0,0,0,0,0.571428571,0
M4,dE,-5.10598,7,1.426065163,10.956076,2.423811,5.4042668,8.67309,2.6906745,5.68571,1,1,2,0,3,0,0,0,7,0,0.142857143,0.142857143,0.285714286,0,0.428571429,0,0,0,0
M4,dU(class),-1.22,227,0.395780199,15.199648,0.58104217,5.6558123,8.67309,5.2497559,6.7014475,1,1,2,0,0,0,0,3,7,0,0.142857143,0.142857143,0.285714286,0,0,0,0,0.428571429,0
M4,dU,-5.11566,313,0.57407096,6.6175885,1.6327679,3.8001933,8.67309,4.0111585,6.5914125,0,1,2,0,4,0,0,0,7,0,0,0.142857143,0.285714286,0,0.571428571,0,0,0,0
OPRD,dE(class),-1.16667,130,1.122287968,10.716128,1.5299301,5.9221597,8.5305042,2.6334593,5.8743634,4,1,1,0,0,0,0,1,7,0,0.571428571,0.142857143,0.142857143,0,0,0,0,0.142857143,0
OPRD,dE,-5.03483,560,1.016071429,5.3359418,0.76863062,2.3735001,9.8067245,8.1334782,9.2010555,3,0,0,0,4,0,0,0,7,0,0.428571429,0,0,0,0.571428571,0,0,0,0
OPRD,dU(class),-2.63167,166,1.142570281,9.914875,1.5299301,5.919075,9.8067245,3.8044081,6.9256439,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,0
OPRD,dU,-4.25701,10,2.917948718,5.7678494,0.55549437,3.2363734,9.8067245,8.1334782,9.0182085,3,0,0,0,4,0,0,0,7,0,0.428571429,0,0,0,0.571428571,0,0,0,1
OPRK,dE(class),-2.15308,106,1.437836927,13.421427,0.74923211,7.9841824,10.138853,6.9004464,8.5988808,4,1,1,0,1,0,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0.142857143,0,0,0,0
OPRK,dE,-4.4266,16,0.635044643,14.100153,0.56952,7.0910964,10.059266,3.6066039,6.2139707,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
OPRK,dU(class),-0.984615,545,1.044036697,11.074803,2.402792,6.8450861,9.8520746,2.2850385,7.5210953,3,1,2,0,0,0,0,1,7,0,0.428571429,0.142857143,0.285714286,0,0,0,0,0.142857143,0
OPRK,dU,-3.99406,2,5.080357143,11.944721,1.2735407,6.9600639,10.138853,4.3258562,6.872467,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,1
