Receptor,subset,Score Type,s_score,Hits,Enrichment,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,hyd,don,acc,donhyd,catdon,hydaro,aniacc,donacc,features,all_same,hyd_prop,don_prop,acc_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop,quality
5HT1B,rec_gh,dE(class),-3.82103,7,1.250549451,10.952263,1.0801964,6.4861693,6.4251585,3.2615304,5.1768174,4,0,2,0,1,0,0,0,7,0,0.571428571,0,0.285714286,0,0.142857143,0,0,0,0
5HT1B,rec_gh,dE,-8.27972,267,0.950792279,12.875493,0.73624247,6.9997592,7.3470192,5.0712366,5.7118344,2,0,1,0,4,0,0,0,7,0,0.285714286,0,0.142857143,0,0.571428571,0,0,0,0
5HT1B,rec_gh,dU(class),-1.96296,149,1.175012907,10.461447,1.4454608,4.6891899,6.4251585,3.3191462,4.9358249,4,0,2,0,1,0,0,0,7,0,0.571428571,0,0.285714286,0,0.142857143,0,0,0,0
5HT1B,rec_gh,dU,-7.12514,2,4.376923077,12.843786,1.0114762,4.9513831,10.533205,4.6109843,7.113893,2,0,0,0,5,0,0,0,7,0,0.285714286,0,0,0,0.714285714,0,0,0,1
5HT2B,rec_gh,dE(class),-3.48044,3,2.205426357,11.836755,1.0505203,5.8443322,8.6936588,3.9183366,5.7246466,2,0,2,0,3,0,0,0,7,0,0.285714286,0,0.285714286,0,0.428571429,0,0,0,1
5HT2B,rec_gh,dE,-5.30114,33,1.403453136,13.517326,0.80279511,6.2448888,8.2689409,3.8130322,5.0954051,2,0,1,0,4,0,0,0,7,0,0.285714286,0,0.142857143,0,0.571428571,0,0,0,0
5HT2B,rec_gh,dU(class),-0.415,21,0.945182724,12.023192,0.63298738,6.9033103,6.9479599,3.8299258,5.6369219,3,0,4,0,0,0,0,0,7,0,0.428571429,0,0.571428571,0,0,0,0,0,0
5HT2B,rec_gh,dU,-6.80359,13,1.017889088,14.562915,0.91527098,6.9900861,10.320834,5.0029106,7.0291629,2,0,0,0,5,0,0,0,7,0,0.285714286,0,0,0,0.714285714,0,0,0,0
5HT2C,rec_gh,dE(class),-1.9562,539,0.994283126,12.091009,0.65611964,6.9756289,7.6980534,3.833334,6.7195754,4,0,1,0,2,0,0,0,7,0,0.571428571,0,0.142857143,0,0.285714286,0,0,0,0
5HT2C,rec_gh,dE,-7.63747,21,0.630121816,9.3647509,0.58005601,5.3207321,6.4847245,3.6117551,4.713357,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
5HT2C,rec_gh,dU(class),-0.1,36,1.470284238,11.991102,1.4683027,8.0216093,7.6980534,2.9722939,6.1791716,6,0,1,0,0,0,0,0,7,0,0.857142857,0,0.142857143,0,0,0,0,0,0
5HT2C,rec_gh,dU,-4.86723,500,0.99244186,14.922268,0.82303643,7.8875141,9.3347435,3.9699171,6.6734262,1,0,0,0,5,0,0,0,6,0,0.166666667,0,0,0,0.833333333,0,0,0,0
A2A,rec_gh,dE(class),-2.03565,564,0.939288335,15.035348,1.4750054,5.7107601,9.7635202,5.8422585,6.8281813,4,0,2,0,1,0,0,0,7,0,0.571428571,0,0.285714286,0,0.142857143,0,0,0,0
A2A,rec_gh,dE,-3.77434,14,4.204433498,15.035348,1.4750054,6.2069211,9.7635202,4.3964672,6.4983115,2,0,2,0,3,0,0,0,7,0,0.285714286,0,0.285714286,0,0.428571429,0,0,0,1
A2A,rec_gh,dU(class),-2.03565,564,0.939288335,15.035348,1.4750054,5.7107601,9.7635202,5.8422585,6.8281813,4,0,2,0,1,0,0,0,7,0,0.571428571,0,0.285714286,0,0.142857143,0,0,0,0
A2A,rec_gh,dU,-3.77174,378,1.141944901,3.638556,0.80488551,2.1859338,10.812245,8.3887835,9.388113,3,0,0,0,4,0,0,0,7,0,0.428571429,0,0,0,0.571428571,0,0,0,0
A2C,rec_gh,dE(class),-1.19698,23,1.546195652,13.549254,0.77364534,7.3947482,8.2411041,3.4084816,6.3827853,5,0,1,0,1,0,0,0,7,0,0.714285714,0,0.142857143,0,0.142857143,0,0,0,0
A2C,rec_gh,dE,-5.31669,27,2.634259259,15.668084,0.75668424,9.3994513,9.8860235,3.4084816,6.7792025,0,0,1,0,6,0,0,0,7,0,0,0,0.142857143,0,0.857142857,0,0,0,1
A2C,rec_gh,dU(class),-1.86382,547,0.910191956,12.436888,0.8655085,7.4072814,9.7857695,4.7556643,7.3948317,5,0,0,0,2,0,0,0,7,0,0.714285714,0,0,0,0.285714286,0,0,0,0
A2C,rec_gh,dU,-4.2494,115,1.700815217,15.667135,0.81876171,8.8998461,9.7857695,3.4084816,6.9038682,2,0,0,0,5,0,0,0,7,0,0.285714286,0,0,0,0.714285714,0,0,0,0
Beta 2,rec_gh,dE(class),-0.816279,554,0.95541936,14.36879,0.12785256,7.9213991,7.6566501,2.5736172,5.9798908,6,0,0,0,1,0,0,0,7,0,0.857142857,0,0,0,0.142857143,0,0,0,0
Beta 2,rec_gh,dE,-1.04839,154,1.718514044,12.42384,1.7358261,5.4524035,6.9283533,2.497833,4.7971859,5,0,0,0,2,0,0,0,7,0,0.714285714,0,0,0,0.285714286,0,0,0,0
Beta 2,rec_gh,dU(class),-1.23909,561,1.01426025,11.370558,1.4137114,6.3528581,7.3689685,2.5736172,5.0097508,6,0,0,0,1,0,0,0,7,0,0.857142857,0,0,0,0.142857143,0,0,0,0
Beta 2,rec_gh,dU,-4.63084,449,1.208318227,4.4292994,0.57847232,2.3898909,7.4141111,3.9114332,5.5964613,3,0,0,0,4,0,0,0,7,0,0.428571429,0,0,0,0.571428571,0,0,0,0
H1,rec_gh,dE(class),-0.58,5,4.462745098,4.0371585,0.73940015,2.2888899,6.6712885,4.5954642,5.5776963,6,0,0,0,1,0,0,0,7,0,0.857142857,0,0,0,0.142857143,0,0,0,1
H1,rec_gh,dE,-1.06923,551,1.012419487,6.0478678,1.2008605,3.6285853,6.2292881,3.8680353,5.2909737,4,0,1,0,2,0,0,0,7,0,0.571428571,0,0.142857143,0,0.285714286,0,0,0,0
H1,rec_gh,dU(class),-0.666667,402,0.999122037,16.72784,1.4209539,6.341177,10.39509,4.5954642,6.5126576,6,0,1,0,0,0,0,0,7,0,0.857142857,0,0.142857143,0,0,0,0,0,0
H1,rec_gh,dU,-2.86,47,0.949520234,8.034049,0.84670717,4.4377789,7.431881,5.3490462,6.3645091,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
