Receptor,subset,Score Type,s_score,Hits,Enrichment,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,hyd,don,acc,donhyd,catdon,hydaro,aniacc,donacc,features,all_same,hyd_prop,don_prop,acc_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop,quality
5HT1B,ef,dE(class),-0.216667,61,2.87,14.777997,1.1645132,7.9017963,10.749083,5.0763645,8.527544,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,1
5HT1B,ef,dE,-4.49637,26,2.02,17.045998,1.1645132,11.312482,10.601196,5.3994145,8.8649368,2,1,0,0,3,1,0,0,7,0,0.285714286,0.142857143,0,0,0.428571429,0.142857143,0,0,1
5HT1B,ef,dU(class),-0.118182,343,1.07,17.448446,0.88897359,9.0486498,10.749083,5.6096787,7.8808203,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
5HT1B,ef,dU,-4.27378,3,2.92,8.2198868,1.2708509,4.2462835,9.0561609,6.1781516,7.9938798,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,1
5HT2B,ef,dE(class),-0.4,543,1.04,11.533735,1.1689938,5.7200589,7.7865977,3.9519479,6.4088774,5,1,0,0,0,1,0,0,7,0,0.714285714,0.142857143,0,0,0,0.142857143,0,0,0
5HT2B,ef,dE,-4.33931,531,1,12.564578,1.0023826,5.9473701,8.602169,4.674387,6.6105814,1,1,0,0,4,1,0,0,7,0,0.142857143,0.142857143,0,0,0.571428571,0.142857143,0,0,0
5HT2B,ef,dU(class),-0.11875,3,2.21,14.334533,1.4122893,8.0676184,7.7865977,3.9519479,5.8723021,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,1
5HT2B,ef,dU,-5.29485,21,0.63,11.522468,1.6147522,6.2385011,9.3196011,4.3206029,7.1799159,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
5HT2C,ef,dE(class),-2.29913,2,3.31,11.495595,1.4378891,5.3473272,8.079381,2.8838477,4.679296,3,2,1,0,1,0,0,0,7,0,0.428571429,0.285714286,0.142857143,0,0.142857143,0,0,0,1
5HT2C,ef,dE,-4.14512,528,0.99,13.754385,1.0472271,5.6887755,9.3874969,2.2861462,4.5699325,0,1,0,0,4,2,0,0,7,0,0,0.142857143,0,0,0.571428571,0.285714286,0,0,0
5HT2C,ef,dU(class),-0.147059,561,1.01,11.444683,0.55258757,6.6236386,8.079381,4.0991793,6.2249508,5,0,2,0,0,0,0,0,7,0,0.714285714,0,0.285714286,0,0,0,0,0,0
5HT2C,ef,dU,-5.57283,13,1.02,5.6438432,1.1392862,3.1542819,4.7140489,1.7678758,3.2753875,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
A2A,ef,dE(class),-1.54,22,1.78,10.111151,1.2674928,6.3031507,6.1245971,3.827318,5.1489506,2,0,2,0,0,1,0,2,7,0,0.285714286,0,0.285714286,0,0,0.142857143,0,0.285714286,0
A2A,ef,dE,-4.10741,568,1,10.898169,1.9478753,5.6003246,7.1928763,2.0663736,4.6612744,1,0,2,0,1,3,0,0,7,0,0.142857143,0,0.285714286,0,0.142857143,0.428571429,0,0,0
A2A,ef,dU(class),-3.27665,20,0.98,15.202851,0.60035491,7.4941158,10.440987,3.9074731,6.5196357,6,0,0,0,1,0,0,0,7,0,0.857142857,0,0,0,0.142857143,0,0,0,0
A2A,ef,dU,-4.26954,113,0.52,15.200411,0.97112304,8.0181236,10.08287,3.9074731,6.0261416,0,1,1,0,3,0,0,2,7,0,0,0.142857143,0.142857143,0,0.428571429,0,0,0.285714286,0
A2C,ef,dE(class),-0.741667,19,2.81,7.9637055,1.1672884,4.3022857,8.6265497,1.9562446,5.443491,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,1
A2C,ef,dE,-3.90874,57,2.18,11.661752,1.0223062,7.8594642,8.7283621,2.6831472,5.9740396,1,0,0,0,5,0,0,1,7,0,0.142857143,0,0,0,0.714285714,0,0,0.142857143,1
A2C,ef,dU(class),-0.3,6,2.96,12.972508,1.5307946,5.6155124,8.7283621,1.9562446,4.234128,6,0,0,0,0,0,0,1,7,0,0.857142857,0,0,0,0,0,0,0.142857143,1
A2C,ef,dU,-3.88375,19,3.74,11.17331,0.1232028,6.5134401,8.2962284,2.361326,5.0247469,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,1
Beta 2,ef,dE(class),-0.864286,64,4.55,18.741371,1.1475755,10.271137,10.064498,4.9861307,7.6004906,3,1,1,0,0,0,0,2,7,0,0.428571429,0.142857143,0.142857143,0,0,0,0,0.285714286,1
Beta 2,ef,dE,-4.73053,10,1.32,15.323845,0.62019795,9.4857531,9.7632265,4.7672119,7.5285616,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
Beta 2,ef,dU(class),-1.47143,170,2.34,16.85998,1.3378184,7.8859081,9.4673042,7.111032,8.4720306,2,2,2,0,0,0,0,1,7,0,0.285714286,0.285714286,0.285714286,0,0,0,0,0.142857143,1
Beta 2,ef,dU,-4.55917,14,0,3.5821753,0.53284705,1.8472801,9.7632265,7.7819943,8.9440165,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
H1,ef,dE(class),-0.386364,567,1,6.3716474,1.1668242,3.0616755,7.8244381,4.3968668,6.2503662,5,1,0,0,0,1,0,0,7,0,0.714285714,0.142857143,0,0,0,0.142857143,0,0,0
H1,ef,dE,-4.45635,18,0.662,13.24171,1.0881802,8.4947538,7.6107655,5.8287435,6.7350154,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
H1,ef,dU(class),-0.283333,543,0.95,12.313594,1.5434422,8.0328846,7.5276074,5.0162477,5.9866614,4,2,1,0,0,0,0,0,7,0,0.571428571,0.285714286,0.142857143,0,0,0,0,0,0
H1,ef,dU,-4.18175,11,1.01,11.210562,1.6187122,6.1845651,8.1534681,5.8066292,6.7937779,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
M1,ef,dE(class),-0.646154,5,4.95,15.21464,1.5312704,9.8374758,8.721159,3.4673228,7.0555687,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,1
M1,ef,dE,-4.91477,3,2.75,10.097594,0.70240599,6.2093716,9.1159611,5.8341041,7.0362029,1,1,0,0,4,1,0,0,7,0,0.142857143,0.142857143,0,0,0.571428571,0.142857143,0,0,1
M1,ef,dU(class),-0.841667,10,4.12,13.968588,1.5312704,8.3755693,8.7682724,3.4673228,6.6396818,5,0,1,0,0,0,0,1,7,0,0.714285714,0,0.142857143,0,0,0,0,0.142857143,1
M1,ef,dU,-4.72783,19,0.43,5.8434424,0.56070399,3.9136176,9.5140934,6.403563,7.9552765,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
M2,ef,dE(class),-1.31,54,0.99,10.327492,0.092528112,6.1438823,9.5216246,2.6983023,6.5018358,0,3,4,0,0,0,0,0,7,0,0,0.428571429,0.571428571,0,0,0,0,0,0
M2,ef,dE,-0.94,1,10.74,16.428482,0.15925643,6.4405904,9.6859398,2.6983023,5.0900803,0,4,1,0,0,2,0,0,7,0,0,0.571428571,0.142857143,0,0,0.285714286,0,0,1
M2,ef,dU(class),-0.1,10,4.29,11.568931,1.6943507,6.4174981,7.757431,2.4160342,5.8807569,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,1
M2,ef,dU,-3.73333,19,1.13,5.9936423,0.540075,3.0887859,9.010787,4.4286828,6.8876829,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
M4,ef,dE(class),-0.1125,10,2,11.474065,0.73048931,6.071701,8.1142197,3.9042709,5.4245868,6,0,0,0,0,1,0,0,7,0,0.857142857,0,0,0,0,0.142857143,0,0,0
M4,ef,dE,-2.12778,561,0.96,15.359131,1.3907092,7.6025276,9.7346087,5.0179338,7.1698093,2,0,2,0,3,0,0,0,7,0,0.285714286,0,0.285714286,0,0.428571429,0,0,0,0
M4,ef,dU(class),-1.65,57,4.99,15.036624,1.1693492,8.0140839,8.9300785,3.1334169,5.8112473,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,1
M4,ef,dU,-6.412,20,0,9.5245247,0.87619948,5.5384297,9.7346087,7.7819438,8.7554274,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
OPRD,ef,dE(class),-0.564286,525,1.06,5.7086854,0.75621164,3.1831779,7.8259101,4.9590192,6.2595577,4,1,1,0,0,0,0,1,7,0,0.571428571,0.142857143,0.142857143,0,0,0,0,0.142857143,0
OPRD,ef,dE,-3.84036,66,1.33,11.451571,1.1513683,6.4403315,7.3848462,4.7553058,5.733695,3,1,0,0,2,1,0,0,7,0,0.428571429,0.142857143,0,0,0.285714286,0.142857143,0,0,0
OPRD,ef,dU(class),-0.791667,3,9.73,6.1818871,1.339862,3.6666405,7.8259101,3.61043,5.3544869,3,1,0,0,0,1,0,2,7,0,0.428571429,0.142857143,0,0,0,0.142857143,0,0.285714286,1
OPRD,ef,dU,-4.47493,358,1.26,4.3814712,1.091728,2.4352429,7.4313354,4.7553058,6.2018924,3,0,0,0,4,0,0,0,7,0,0.428571429,0,0,0,0.571428571,0,0,0,0
OPRK,ef,dE(class),-1,20,2.54,6.930687,1.1183617,4.2815633,9.3384333,5.808115,7.5769324,3,2,1,0,0,1,0,0,7,0,0.428571429,0.285714286,0.142857143,0,0,0.142857143,0,0,1
OPRK,ef,dE,-5.69395,17,2.39,18.851009,1.7228479,9.8291712,10.534269,3.939713,7.5068417,0,0,1,0,6,0,0,0,7,0,0,0,0.142857143,0,0.857142857,0,0,0,1
OPRK,ef,dU(class),-2.82058,529,1.06,16.306683,1.8162538,10.638532,9.2171097,4.8855443,7.9377465,4,0,1,0,1,0,0,1,7,0,0.571428571,0,0.142857143,0,0.142857143,0,0,0.142857143,0
OPRK,ef,dU,-4.91406,45,0.68,7.3403029,1.6276981,4.027823,9.1865635,6.0771585,7.540319,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
OPRM,ef,dE(class),-0.716667,251,1.54,10.904189,0.77097988,4.9906063,7.7149844,2.5739269,4.4123244,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
OPRM,ef,dE,-5.33984,509,1.1,11.77015,0.55587226,5.1787043,7.2324171,3.5874903,4.6813912,2,1,0,0,4,0,0,0,7,0,0.285714286,0.142857143,0,0,0.571428571,0,0,0,0
OPRM,ef,dU(class),-0.764286,558,1.02,7.5264053,1.1091303,4.1441598,5.4519372,1.7050276,3.9711382,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
OPRM,ef,dU,-5.45424,44,0.24,6.4195795,0.714091,3.5076087,4.9511218,3.5874903,4.4426904,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
