Receptor,Score Type,s_score,Hits,Enrichment,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,hyd,don,acc,donhyd,catdon,hydaro,aniacc,donacc,features,all_same,hyd_prop,don_prop,acc_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop,quality
5HT1B,dE(class),-1.15455,453,0.985532348,14.656192,1.7305361,9.4652786,10.345926,5.8324718,7.7848706,2,1,2,0,0,0,0,2,7,0,0.285714286,0.142857143,0.285714286,0,0,0,0,0.285714286,0
5HT1B,dE,-5.18018,317,0.994127639,15.907225,0.55182332,9.8444948,9.9697027,5.3994145,7.9257069,2,0,0,0,5,0,0,0,7,0,0.285714286,0,0,0,0.714285714,0,0,0,0
5HT1B,dU(class),-0.13,555,0.993679834,13.207399,0.20243263,4.8041167,8.0446653,4.3651314,5.9173517,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
5HT1B,dU,-4.47459,2,4.376923077,6.5695338,1.2708509,3.6706553,9.3480272,6.1781516,8.0349083,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,1
5HT2B,dE(class),-0.54375,14,1.890365449,15.110319,1.3273842,9.2504406,7.8287721,5.3634496,6.7393031,5,0,1,0,0,0,0,1,7,0,0.714285714,0,0.142857143,0,0,0,0,0.142857143,0
5HT2B,dE,-5.30137,21,0.630121816,12.564578,1.7216005,6.9048462,8.602169,4.3016253,5.7125363,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
5HT2B,dU(class),-0.118182,1,3.308139535,14.334533,1.5309908,8.7136059,7.7865977,5.3634496,6.6358948,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,1
5HT2B,dU,-4.6323,17,0.389192886,10.523085,1.1486684,4.9236679,8.7019701,5.3330216,7.3059497,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
5HT2C,dE(class),-1.23846,555,1.025225225,9.7664785,0.78827721,6.0031347,8.9795074,2.8838477,6.6444025,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,0
5HT2C,dE,-5.1524,11,0.601479915,16.579319,0.88494408,8.1527939,9.3874969,2.2861462,5.6395102,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
5HT2C,dU(class),-0.1,110,1.142811839,6.8508205,0.5172717,4.0415201,8.9795074,6.3362484,7.8356538,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
5HT2C,dU,-5.29319,17,0.778385773,6.0710196,0.88494408,3.169354,5.6062827,1.7678758,3.1867435,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
A2A,dE(class),-2.8706,15,1.308045977,11.53487,0.6488775,5.890851,6.6622882,3.6415756,5.3419595,3,1,1,0,1,0,0,1,7,0,0.428571429,0.142857143,0.142857143,0,0.142857143,0,0,0.142857143,0
