Receptor,Score Type,s_score,Hits,Enrichment,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,hyd,don,acc,donhyd,catdon,hydaro,aniacc,donacc,features,all_same,hyd_prop,don_prop,acc_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop,quality
5HT1B,dE(class),-2.66842,15,1.750769231,15.48471,1.4477921,9.3060513,10.749083,5.0763645,7.4853711,5,0,1,0,1,0,0,0,7,0,0.714285714,0,0.142857143,0,0.142857143,0,0,0,0
5HT1B,dE,-2.78384,443,1.027539503,10.960896,1.4714693,4.7718472,9.0652828,4.949985,7.1513472,3,0,2,0,2,0,0,0,7,0,0.428571429,0,0.285714286,0,0.285714286,0,0,0,0
5HT1B,dU(class),-0.27619,557,1.021543986,15.610643,2.4460132,9.3321486,10.749083,4.3651314,6.9874539,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
5HT1B,dU,-4.76385,1,8.753846154,4.5955496,0.54174346,2.3033302,9.6243925,7.7852659,8.4230347,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,1
5HT2B,dE(class),-2.16115,3,2.205426357,14.335209,1.5319533,7.963181,7.7865977,4.6011567,5.9103665,6,0,0,0,1,0,0,0,7,0,0.857142857,0,0,0,0.142857143,0,0,0,1
5HT2B,dE,-5.83364,19,0.348225214,12.760071,1.0298786,7.9496613,8.997858,4.6662955,6.8178716,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
5HT2B,dU(class),-1.88812,3,2.205426357,14.335209,1.5319533,8.1176205,8.3777857,4.027318,6.339994,6,0,0,0,1,0,0,0,7,0,0.857142857,0,0,0,0.142857143,0,0,0,1
5HT2B,dU,-6.02185,14,0.472591362,4.3022547,0.71420586,2.016536,9.0662508,7.2850819,8.2604351,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
5HT2C,dE(class),-1.62065,24,1.102713178,10.535997,1.3416609,5.7944546,8.2929745,2.4649596,6.3165827,5,0,0,0,2,0,0,0,7,0,0.714285714,0,0,0,0.285714286,0,0,0,0
5HT2C,dE,-2.43055,507,0.939589927,10.70808,0.98127317,5.0042434,8.7362156,2.2732315,4.8112183,2,0,2,0,3,0,0,0,7,0,0.285714286,0,0.285714286,0,0.428571429,0,0,0,0
5HT2C,dU(class),-0.266667,560,1.016071429,10.977654,0.13321474,6.0717993,7.5649366,4.0991793,5.7873173,5,0,2,0,0,0,0,0,7,0,0.714285714,0,0.285714286,0,0,0,0,0,0
5HT2C,dU,-4.29678,74,0.715273413,5.6832442,0.20224737,3.3891847,4.9096828,2.6624832,3.9307621,2,0,0,0,5,0,0,0,7,0,0.285714286,0,0,0,0.714285714,0,0,0,0
A2A,dE(class),-0.888344,559,0.877490593,14.555636,1.5292571,7.8726616,10.386244,2.923759,6.5681224,4,0,2,0,1,0,0,0,7,0,0.571428571,0,0.285714286,0,0.142857143,0,0,0,0
A2A,dE,-0.953846,328,0.837468461,13.21906,0.75341624,5.130127,8.4594555,5.58005,6.6153283,1,0,6,0,0,0,0,0,7,0,0.142857143,0,0.857142857,0,0,0,0,0,0
A2A,dU(class),-0.11,561,0.979285758,13.897984,0.60592741,5.3084102,10.469558,3.6869302,6.8574286,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
A2A,dU,-3.65456,559,9.810344828,15.628155,1.4422097,6.9968796,9.8637495,4.1146116,6.6692367,4,0,1,0,2,0,0,0,7,0,0.571428571,0,0.142857143,0,0.285714286,0,0,0,1
A2C,dE(class),-0.323077,22,1.616477273,10.035192,1.4651693,4.9662418,6.8312097,1.9562446,4.1494589,6,0,1,0,0,0,0,0,7,0,0.857142857,0,0.142857143,0,0,0,0,0,0
A2C,dE,-6.65277,20,3.55625,13.13256,0.66054827,7.7158399,10.533068,1.8813845,6.2430358,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,1
A2C,dU(class),-0.171429,5,3.55625,13.314546,1.473753,6.2903795,10.648377,1.9562446,4.4973836,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,1
