,s_score,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters,Receptor,hits_actual,quality,quality_pred
0,1.2227980843325146,0.1943124786664444,0.850092098360353,0.7302809364965421,1.600335582404785,0.5620317897831528,1.5861870023946272,0.0,-0.5179697702828123,0.65670831543714,0.42710111408637674,-0.9008192992698068,0.8733337646093728,0.0,0.3689640277608546,5HT1B,61,1,1
1,-0.9198126521808259,0.19249567186477104,1.4355959048138685,2.260354738056982,1.4913706163247475,0.7770220745733056,1.8342738840047548,0.0,-0.5179697702828123,-0.2539272149198937,0.42710111408637674,0.16378532826909106,0.8733337646093728,0.0,0.3689640277608546,5HT1B,26,1,0
2,1.2721040801891235,0.20895075061135557,1.5394912892954469,1.2447729328062278,1.600335582404785,0.9169532314814433,1.110647316911226,0.0,1.930614598326846,2.022661615753527,-0.7418071977193716,-0.9008192992698068,-0.6404447607135403,0.0,0.3689640277608546,5HT1B,343,0,1
4,1.1310133847500436,0.2193325037637749,0.012558186279849008,-0.2484721739482546,-0.582460134778659,-0.18626923190629174,0.028319170106767006,0.0,-0.5179697702828123,1.1120260822092694,0.42710111408637674,-0.9008192992698068,0.8733337646093728,0.0,0.3689640277608546,5HT2B,543,0,1
5,-0.8411813914889544,0.2187095985746297,0.27867910084556596,-0.14649769065849735,0.01846286075408972,0.29451512919119055,0.17663329052750223,0.0,-0.5179697702828123,-0.7092449816920228,0.42710111408637674,0.5186535349646462,0.8733337646093728,0.0,0.3689640277608546,5HT2B,531,0,0
7,-1.3195674531310726,0.19223612803596055,0.00964951411113663,-0.015892892942280818,0.5470756829847767,0.059071252350986446,0.5952682486477147,0.0,1.930614598326846,-1.1645627484641519,-0.7418071977193716,1.583258162503544,-0.6404447607135403,0.0,0.3689640277608546,5HT2B,21,0,0
9,-0.7439611921144821,0.21855387227734344,0.5858379281322554,-0.26250627587788644,0.5971021460543976,-1.2948628919803373,-1.323867674703935,0.0,-0.5179697702828123,-1.1645627484641519,0.42710111408637674,0.5186535349646462,2.387112289932286,0.0,0.3689640277608546,5HT2C,528,0,0
10,1.2576469624315838,0.22026686154749262,-0.010431347222252089,0.1568843285848988,-0.3667337872748131,-0.08828650286727993,-0.10692312504343593,0.0,-0.5179697702828123,1.1120260822092694,-0.7418071977193716,-0.9008192992698068,-0.6404447607135403,0.0,0.3689640277608546,5HT2C,561,0,1
12,0.5602783969190637,0.19228803680172263,-0.3546940093760912,0.013109679543763058,-1.807042680938909,-0.26921062702892984,-0.898112309370647,0.0,-0.5179697702828123,-0.2539272149198937,-0.7418071977193716,-0.9008192992698068,0.8733337646093728,0.0,0.3689640277608546,A2A,22,0,1
13,-0.7250818794907049,0.2206302229078273,-0.15151859863004935,-0.30218639205348186,-1.019921387032015,-1.4411219040932373,-1.2567034461509117,0.0,-0.5179697702828123,-0.7092449816920228,-0.7418071977193716,-0.5459510900901742,3.900890815255199,0.0,0.3689640277608546,A2A,568,0,0
