Enrichment,GH,Active_Rate,Hits,Actives,filename,fbase,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,receptor,hyd,don,acc,ani,cat,aro,donhyd,catdon,hydaro,aniacc,donacc,features,s_score,hyd_prop,don_prop,acc_prop,ani_prop,cat_prop,aro_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop,quality
NaN,NaN,NaN,0,0,4193.ph4,4193,2.3207781,0.56502122,1.3754394,31.44026,30.003922,30.513916,D2,4,0,0,0,0,0,0,1,0,0,0,5,-0.93297321,0.8,0,0,0,0,0,0,0.2,0,0,0,Not Quality
NaN,NaN,NaN,0,0,3469.ph4,3469,2.5256169,1.2344962,1.941933,36.564102,34.13937,35.358437,D2,5,0,0,0,0,0,0,0,0,0,0,5,-0.33976579,1,0,0,0,0,0,0,0,0,0,0,Not Quality
NaN,NaN,NaN,0,0,901.ph4,901,2.528069,0.57262641,1.5474212,31.304598,29.164013,30.307461,D2,5,0,0,0,0,0,0,0,0,0,0,5,-0.23181818,1,0,0,0,0,0,0,0,0,0,0,Not Quality
NaN,NaN,NaN,0,0,4566.ph4,4566,2.5281925,0.89481062,1.5853832,30.193123,29.165495,29.665482,D2,4,0,1,0,0,0,0,0,0,0,0,5,-1.7585716,0.8,0,0.2,0,0,0,0,0,0,0,0,Not Quality
NaN,NaN,NaN,0,0,1851.ph4,1851,2.5298638,0.58669925,1.7687237,35.675232,34.222649,35.066978,D2,5,0,0,0,0,0,0,0,0,0,0,5,-0.30000001,1,0,0,0,0,0,0,0,0,0,0,Not Quality
0,0,0,1,0,1855.ph4,1855,2.5299635,0.65531212,1.8177638,31.539555,29.34314,30.275763,D2,4,0,1,0,0,0,0,0,0,0,0,5,-0.55000001,0.8,0,0.2,0,0,0,0,0,0,0,0,Not Quality
NaN,NaN,NaN,0,0,397.ph4,397,2.5333099,0.90951353,1.565452,31.634232,29.911354,30.572664,D2,3,0,0,0,0,0,0,2,0,0,0,5,-2.094249,0.6,0,0,0,0,0,0,0.4,0,0,0,Not Quality
NaN,NaN,NaN,0,0,688.ph4,688,2.5339277,0.91927689,1.6146944,35.856014,34.509892,35.227642,D2,5,0,0,0,0,0,0,0,0,0,0,5,-1.7045553,1,0,0,0,0,0,0,0,0,0,0,Not Quality
NaN,NaN,NaN,0,0,3200.ph4,3200,2.5381131,0.90231091,1.9476106,36.564102,34.13937,35.136955,D2,5,0,0,0,0,0,0,0,0,0,0,5,-0.3888889,1,0,0,0,0,0,0,0,0,0,0,Not Quality
0,0,0,8,0,962.ph4,962,2.5720079,0.61241895,1.8641964,36.564102,34.13937,35.189445,D2,4,1,0,0,0,0,0,0,0,0,0,5,-0.10769231,0.8,0.2,0,0,0,0,0,0,0,0,0,Not Quality
0,0,0,1,0,1800.ph4,1800,2.5836086,0.65398932,1.7842962,35.747795,34.560974,35.156429,D2,5,0,0,0,0,0,0,0,0,0,0,5,-2.804677,1,0,0,0,0,0,0,0,0,0,0,Not Quality
NaN,NaN,NaN,0,0,2998.ph4,2998,2.5958321,0.52534467,1.784247,36.07259,34.255589,35.202831,D2,5,0,0,0,0,0,0,0,0,0,0,5,-0.1,1,0,0,0,0,0,0,0,0,0,0,Not Quality
NaN,NaN,NaN,0,0,2600.ph4,2600,2.635603,1.1099397,1.8238317,35.598648,34.194118,35.099766,D2,5,0,0,0,0,0,0,0,0,0,0,5,-0.21333334,1,0,0,0,0,0,0,0,0,0,0,Not Quality
0,0,0,3,0,3118.ph4,3118,2.6453042,1.1537673,2.2065666,36.284611,33.867203,35.12307,D2,5,0,0,0,0,0,0,0,0,0,0,5,-0.18571429,1,0,0,0,0,0,0,0,0,0,0,Not Quality
0,0,0,1,0,3546.ph4,3546,2.6559722,1.53108,2.0774333,36.564102,34.13937,35.195152,D2,5,0,0,0,0,0,0,0,0,0,0,5,-0.1,1,0,0,0,0,0,0,0,0,0,0,Not Quality
NaN,NaN,NaN,0,0,3231.ph4,3231,2.6807554,0.77211267,1.9120245,35.665947,34.423878,35.033615,D2,5,0,0,0,0,0,0,0,0,0,0,5,-1.3991085,1,0,0,0,0,0,0,0,0,0,0,Not Quality
NaN,NaN,NaN,0,0,1668.ph4,1668,2.6838632,0.75117308,1.9043745,31.157475,29.164013,30.126036,D2,5,0,0,0,0,0,0,0,0,0,0,5,-0.175,1,0,0,0,0,0,0,0,0,0,0,Not Quality
0,0,0,1,0,1817.ph4,1817,2.690681,1.1868303,1.8572339,32.219959,29.551117,30.971972,D2,4,0,0,0,0,0,0,1,0,0,0,5,-0.43686372,0.8,0,0,0,0,0,0,0.2,0,0,0,Not Quality
