Receptor,subset,match_features,Score Type,s_score,Hits,Enrichment,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,hyd,don,acc,donhyd,catdon,hydaro,aniacc,donacc,features,all_same,hyd_prop,don_prop,acc_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop,quality
5HT1B,gh,5,dE(class),-0.9,81,1.080721747,10.756951,1.1675643,6.5236397,5.9069619,4.1466079,5.2094994,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
5HT1B,gh,5,dE,-6.01201,4,2.188461538,7.8702097,0.17939904,3.3052554,7.3470192,4.6138554,5.6259718,1,3,0,0,2,1,0,0,7,0,0.142857143,0.428571429,0,0,0.285714286,0.142857143,0,0,1
5HT1B,gh,4,dU(class),-1.01538,488,1.022477932,11.109746,1.091625,5.2926536,8.8731441,3.4409468,5.3760915,3,1,1,0,0,1,0,1,7,0,0.428571429,0.142857143,0.142857143,0,0,0.142857143,0,0.142857143,0
5HT1B,gh,5,dU,-7.12514,2,4.376923077,12.843786,1.0114762,4.9513831,10.533205,4.6109843,7.113893,2,0,0,0,5,0,0,0,7,0,0.285714286,0,0,0,0.714285714,0,0,0,1
5HT2B,gh,5,dE(class),-0.32,210,1.260243632,13.242832,1.050144,5.3035259,9.5808125,4.378633,7.145504,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
5HT2B,gh,5,dE,-3.96792,8,2.481104651,12.685421,0.52584219,5.4051256,8.7649374,3.9183366,6.2667823,1,1,1,0,2,1,0,1,7,0,0.142857143,0.142857143,0.142857143,0,0.285714286,0.142857143,0,0.142857143,1
5HT2B,gh,5,dU(class),-0.32,83,1.355141496,12.685421,0.68668193,4.9592943,8.7649374,4.378633,6.9720898,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
5HT2B,gh,4,dU,-6.80359,13,1.017889088,14.562915,0.91527098,6.9900861,10.320834,5.0029106,7.0291629,2,0,0,0,5,0,0,0,7,0,0.285714286,0,0,0,0.714285714,0,0,0,0
5HT2C,gh,5,dE(class),-2.00574,26,1.526833631,8.1330566,0.65611964,3.4597595,8.6353359,6.4847245,7.5397782,4,1,0,0,1,1,0,0,7,0,0.571428571,0.142857143,0,0,0.142857143,0.142857143,0,0,0
5HT2C,gh,6,dE,-2.56962,2,3.308139535,11.145441,1.1640269,7.4747453,8.6353359,4.8203678,6.2285051,1,2,0,0,2,2,0,0,7,0,0.142857143,0.285714286,0,0,0.285714286,0.285714286,0,0,1
5HT2C,gh,4,dU(class),-0.313333,137,1.11076218,11.990654,0.20789795,7.7071042,7.6442127,2.9722939,6.4311318,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,0
5HT2C,gh,3,dU,-4.86723,500,0.99244186,14.922268,0.82303643,7.8875141,9.3347435,3.9699171,6.6734262,1,0,0,0,5,0,0,0,6,0,0.166666667,0,0,0,0.833333333,0,0,0,0
A2A,gh,5,dE(class),-0.445455,49,1.201266714,11.92933,1.163801,7.0275626,7.2460117,5.118731,6.0130873,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
A2A,gh,3,dE,-2.79939,562,0.977543257,15.035348,1.4750054,6.5412025,9.7635202,5.8422585,6.7527084,2,0,2,0,2,0,0,1,7,0,0.285714286,0,0.285714286,0,0.285714286,0,0,0.142857143,0
A2A,gh,5,dU(class),-0.354545,14,2.802955665,13.191724,0.79440302,6.936028,8.7623663,5.1211267,6.6276884,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,1
A2A,gh,4,dU,-3.77174,378,1.141944901,3.638556,0.80488551,2.1859338,10.812245,8.3887835,9.388113,3,0,0,0,4,0,0,0,7,0,0.428571429,0,0,0,0.571428571,0,0,0,0
A2C,gh,3,dE(class),-0.204167,567,0.972167108,4.2945452,0.77364534,2.4251282,8.2411041,6.360158,7.4676018,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,0
A2C,gh,5,dE,-2.5725,103,1.898968447,6.8410473,1.1285287,3.896337,8.1691561,3.4084816,5.4976211,1,2,0,0,2,2,0,0,7,0,0.142857143,0.285714286,0,0,0.285714286,0.285714286,0,0,0
A2C,gh,3,dU(class),-0.38,567,1.003527337,10.053795,0.8655085,4.8928871,8.1453133,3.7776163,6.5795445,5,1,0,0,0,1,0,0,7,0,0.714285714,0.142857143,0,0,0,0.142857143,0,0,0
A2C,gh,3,dU,-4.2494,115,1.700815217,15.667135,0.81876171,8.8998461,9.7857695,3.4084816,6.9038682,2,0,0,0,5,0,0,0,7,0,0.285714286,0,0,0,0.714285714,0,0,0,0
Beta 2,gh,3,dE(class),-0.420833,511,1.113502935,14.662824,0.11412384,7.4534459,8.314826,5.4010324,6.5986333,4,1,1,0,0,0,0,1,7,0,0.571428571,0.142857143,0.142857143,0,0,0,0,0.142857143,0
Beta 2,gh,4,dE,-1.58261,493,1.073635549,15.990948,1.1648237,7.4770031,9.1926546,2.7723558,6.0665464,2,1,0,0,2,2,0,0,7,0,0.285714286,0.142857143,0,0,0.285714286,0.285714286,0,0,0
Beta 2,gh,4,dU(class),-0.280769,514,1.029771061,14.564572,1.1648237,6.8578119,9.1926546,2.7723558,6.4015536,5,1,0,0,0,1,0,0,7,0,0.714285714,0.142857143,0,0,0,0.142857143,0,0,0
Beta 2,gh,4,dU,-4.63084,449,1.208318227,4.4292994,0.57847232,2.3898909,7.4141111,3.9114332,5.5964613,3,0,0,0,4,0,0,0,7,0,0.428571429,0,0,0,0.571428571,0,0,0,0
H1,gh,3,dE(class),-0.391667,567,1.003527337,7.8387733,1.2679,3.5768666,8.5106344,4.2666359,6.7840767,5,1,0,0,0,1,0,0,7,0,0.714285714,0.142857143,0,0,0,0.142857143,0,0,0
H1,gh,3,dE,-0.35,569,1,5.7000937,0.60663497,2.8744273,8.3229437,4.5954642,7.0126681,3,2,0,0,0,2,0,0,7,0,0.428571429,0.285714286,0,0,0,0.285714286,0,0,0
H1,gh,3,dU(class),-0.35,567,1.003527337,12.612705,0.982858,5.3607388,8.3229437,4.5954642,6.6915488,4,1,0,0,0,1,0,1,7,0,0.571428571,0.142857143,0,0,0,0.142857143,0,0.142857143,0
H1,gh,3,dU,-2.86,47,0.949520234,8.034049,0.84670717,4.4377789,7.431881,5.3490462,6.3645091,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
M1,gh,5,dE(class),-2.16357,183,1.036429872,7.0277243,1.1522369,4.1834064,9.0355549,4.8673997,6.4465647,3,1,1,0,1,1,0,0,7,0,0.428571429,0.142857143,0.142857143,0,0.142857143,0.142857143,0,0,0
M1,gh,3,dE,-4.37935,551,0.94287067,15.82536,1.2329055,6.9598722,10.144742,4.3872571,5.9739823,2,0,2,0,2,1,0,0,7,0,0.285714286,0,0.285714286,0,0.285714286,0.142857143,0,0,0
M1,gh,6,dU(class),-0.815385,6,2.748792271,7.6105876,1.0801768,4.0606189,8.9225159,3.6838655,6.5087352,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,1
M1,gh,5,dU,-3.28744,12,1.374396135,16.10144,1.1680701,5.7480388,10.70926,3.6838655,6.0557976,2,1,0,0,3,1,0,0,7,0,0.285714286,0.142857143,0,0,0.428571429,0.142857143,0,0,0
M2,gh,5,dE(class),-2.53935,1,10.73584906,19.388624,1.5309467,10.345766,10.116345,7.0964193,9.1408281,5,0,0,0,1,0,0,1,7,0,0.714285714,0,0,0,0.142857143,0,0,0.142857143,1
M2,gh,4,dE,-5.27607,3,3.578616352,19.069183,1.744514,10.214144,10.116345,5.467844,8.0575581,1,1,0,0,4,0,0,1,7,0,0.142857143,0.142857143,0,0,0.571428571,0,0,0.142857143,1
M2,gh,5,dU(class),-1.74521,4,8.051886792,17.773615,1.0302582,9.7616272,10.03732,7.0964193,8.9457407,6,0,0,0,1,0,0,0,7,0,0.857142857,0,0,0,0.142857143,0,0,0,1
M2,gh,4,dU,-4.53571,308,1.080556236,2.4943917,0.61427927,1.6372213,10.321294,8.2595034,8.9073706,4,0,0,0,3,0,0,0,7,0,0.571428571,0,0,0,0.428571429,0,0,0,0
M4,gh,3,dE(class),-1.2,566,0.987663505,10.254138,1.3384842,5.5384898,11.474718,1.9664854,6.1557837,3,1,1,0,0,1,0,1,7,0,0.428571429,0.142857143,0.142857143,0,0,0.142857143,0,0.142857143,0
