Receptor,subset,match_features,Score Type,s_score,Hits,Enrichment,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,hyd,don,acc,donhyd,catdon,hydaro,aniacc,donacc,features,all_same,hyd_prop,don_prop,acc_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop,quality
5HT1B,moefrags,4,dE(class),-0.188235,170,1.85,14.777997,1.4728123,8.9583931,10.749083,5.0763645,7.9048371,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,0
5HT1B,moefrags,4,dE,-4.49637,26,2.02,17.045998,1.1645132,11.312482,10.601196,5.3994145,8.8649368,2,1,0,0,3,1,0,0,7,0,0.285714286,0.142857143,0,0,0.428571429,0.142857143,0,0,1
5HT1B,moefrags,3,dU(class),-0.224138,561,1.01,17.218178,1.4178815,9.4414654,10.749083,5.5635157,7.8157973,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
5HT1B,moefrags,5,dU,-4.13947,2,4.38,6.8858695,1.1372836,3.8683982,8.987422,6.1781516,7.9408026,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,1
5HT2B,moefrags,6,dE(class),-0.338095,1,6.62,15.960495,2.5101347,8.3628254,9.0420494,3.9519479,6.7691536,5,1,0,0,0,1,0,0,7,0,0.714285714,0.142857143,0,0,0,0.142857143,0,0,1
5HT2B,moefrags,3,dE,-5.23342,20,0.66,12.564578,1.1551268,6.3851466,8.602169,4.1178055,5.6137424,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
5HT2B,moefrags,6,dU(class),-0.108333,3,2.21,14.334533,0.65266377,7.6881456,7.7865977,5.1793036,6.0932546,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,1
5HT2B,moefrags,3,dU,-6.20723,17,0.78,5.3081598,0.51087475,2.6165864,9.2363853,6.5673928,8.3624115,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
5HT2C,moefrags,4,dE(class),-1.31342,498,1.04,11.500634,2.1901793,6.267374,8.079381,3.7707212,5.3373113,3,1,1,0,1,1,0,0,7,0,0.428571429,0.142857143,0.142857143,0,0.142857143,0.142857143,0,0,0
5HT2C,moefrags,3,dE,-4.49013,502,1,13.754385,1.6345235,5.9744697,9.3874969,2.4649596,4.5810642,1,0,0,0,5,1,0,0,7,0,0.142857143,0,0,0,0.714285714,0.142857143,0,0,0
5HT2C,moefrags,4,dU(class),-0.721053,186,0.92,11.360661,0.11567102,6.8001318,8.9795074,3.6345336,6.2473388,4,1,2,0,0,0,0,0,7,0,0.571428571,0.142857143,0.285714286,0,0,0,0,0,0
5HT2C,moefrags,3,dU,-5.96627,18,0.74,5.6438432,0.92898899,3.0367813,4.8750286,1.7678758,3.4752147,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
A2A,moefrags,5,dE(class),-0.966667,133,1.03,10.075701,1.4098582,6.3458438,6.0713797,3.827318,5.0469475,3,0,1,0,0,2,0,1,7,0,0.428571429,0,0.142857143,0,0,0.285714286,0,0.142857143,0
A2A,moefrags,5,dE,-4.27794,12,1.64,9.9838028,1.0507088,5.842505,6.4480882,2.0663736,4.6973381,0,0,3,0,1,2,1,0,7,0,0,0,0.428571429,0,0.142857143,0.285714286,0.142857143,0,0
A2A,moefrags,5,dU(class),-1.85216,153,1.15,8.3158131,1.1655952,4.5306869,10.404747,3.5824029,7.1660495,6,0,0,0,1,0,0,0,7,0,0.857142857,0,0,0,0.142857143,0,0,0,0
A2A,moefrags,3,dU,-4.02981,3,0,9.5823765,1.0489562,4.0871668,6.3207517,3.8514082,4.8062925,0,0,0,0,1,0,6,0,7,0,0,0,0,0,0.142857143,0,0.857142857,0,0
A2C,moefrags,3,dE(class),-0.485,567,1,7.9078031,1.046078,4.1501207,8.6265497,1.5762092,4.5448332,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,0
A2C,moefrags,3,dE,-4.77277,19,3.74,9.3273611,0.68127728,3.620424,8.6702757,1.8813845,3.5036004,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,1
A2C,moefrags,6,dU(class),-0.105263,7,2.54,7.4049954,1.1825762,3.7679513,5.2109952,1.5302311,3.2058234,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,1
A2C,moefrags,3,dU,-5.31083,16,4.45,4.3366752,0.59553295,2.3963678,3.4840357,2.2957857,2.9344938,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,1
Beta 2,moefrags,5,dE(class),-0.995238,5,10.59,17.837337,2.7120407,8.7329845,10.064498,4.0576906,6.900806,3,1,1,0,1,0,0,1,7,0,0.428571429,0.142857143,0.142857143,0,0.142857143,0,0,0.142857143,1
Beta 2,moefrags,3,dE,-4.70315,11,1.2,14.832417,1.957142,8.9760923,9.3543472,4.0576906,6.7134852,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
Beta 2,moefrags,5,dU(class),-1.70839,59,1.57,16.650761,1.166077,6.8771758,9.3597488,6.8909693,7.967082,2,1,2,0,1,1,0,0,7,0,0.285714286,0.142857143,0.285714286,0,0.142857143,0.142857143,0,0,0
Beta 2,moefrags,3,dU,-5.13321,14,0,3.5821753,0.63754684,1.8116419,9.7632265,7.7819943,8.9769268,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
H1,moefrags,3,dE(class),-0.45,567,1,6.3716474,1.1668242,2.8200796,7.8244381,5.3252153,6.4776225,5,1,0,0,0,1,0,0,7,0,0.714285714,0.142857143,0,0,0,0.142857143,0,0,0
