,s_score,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters,Receptor,hits_actual,Score Type,subset,quality,quality_pred
2,1.213326206901143,-0.7419886520045335,1.4649191010531581,1.393639365868401,1.4520656360432163,0.7873853253038059,1.0047979122826645,0.06213697660011978,1.6972321629421747,1.741344437228406,-0.6090468578052339,-0.9268828337045417,-0.483896431160561,-0.1520816052569993,-1.570562531918633,5HT1B,1,dU(class),moefrags,0,1
3,-0.6498079308982758,-0.7372230323429347,-1.050925601036568,-0.9404642156557271,0.3246293328883298,1.1866454080186468,1.0936089771312227,0.06213697660011978,-0.5891945850628274,-0.8010021435888379,-0.6090468578052339,1.278971049293182,-0.483896431160561,-0.1520816052569993,-1.570562531918633,5HT1B,2,dU,moefrags,1,1
4,1.159099087223627,-0.7419886520045335,1.1586821054719367,0.9418849913338204,0.3595900398046789,-0.25946972030705806,0.2612011086748563,0.06213697660011978,-0.5891945850628274,0.893895575967301,0.8305184426448999,-0.9268828337045417,1.3939106151341534,-0.1520816052569993,-1.570562531918633,5HT2B,1,dE(class),moefrags,1,1
6,1.2684327084258826,-0.7324574126813359,0.762771754605118,0.6593166172144519,-0.44387999412211954,0.5378057696253257,-0.2189970102855065,0.06213697660011978,1.6972321629421747,1.741344437228406,-0.6090468578052339,-0.9268828337045417,-0.483896431160561,-0.1520816052569993,-1.570562531918633,5HT2B,3,dU(class),moefrags,1,1
11,-1.5191016313895693,-0.6609731177573548,-1.3533502999033415,-1.2887607488010646,-2.307240029045978,-1.67821666838018,-2.0790054366083384,0.06213697660011978,1.6972321629421747,-1.2247265742193902,-0.6090468578052339,1.646613363555052,-0.483896431160561,-0.1520816052569993,-1.570562531918633,5HT2C,18,dU,moefrags,0,0
13,-0.7156997081629076,-0.6895668357269472,-0.2966005554543209,-0.11367178936107648,-1.3005057594752125,-1.484316090301031,-1.2107376069215914,0.06213697660011978,-0.5891945850628274,-1.2247265742193902,-0.6090468578052339,-0.5592405194426718,3.2717176614288674,1.4954691198020997,-1.570562531918633,A2A,12,dE,moefrags,0,0
15,-0.5976255643579457,-0.7324574126813359,-0.3943450459652728,-0.8488398812523991,-1.381999186880759,-0.3247790993038354,-1.1333300387309964,0.06213697660011978,-0.5891945850628274,-1.2247265742193902,-0.6090468578052339,-0.5592405194426718,-0.483896431160561,9.733222733564741,-1.570562531918633,A2A,3,dU,moefrags,0,0
18,1.2698935862781426,-0.7133949340349409,-0.924522082865139,-0.9825332344974516,-2.092226504033211,-1.8325878051438211,-2.2703967473282636,0.06213697660011978,1.6972321629421747,1.741344437228406,-0.6090468578052339,-0.9268828337045417,-0.483896431160561,-0.1520816052569993,-1.570562531918633,A2C,7,dU(class),moefrags,1,0
19,-1.2072065892119839,-0.6705043570805523,-1.6716365461513336,-1.5569777629448025,-3.1974543738550505,-1.3352927514075732,-2.4631651395559007,0.06213697660011978,1.6972321629421747,-1.2247265742193902,-0.6090468578052339,1.646613363555052,-0.483896431160561,-0.1520816052569993,-1.570562531918633,A2C,16,dU,moefrags,1,0
20,0.8463936623156183,-0.7229261733581385,1.6156799779570148,1.0969144661342944,1.0139416260348844,-0.19078053513500642,0.35473466152316246,0.06213697660011978,-0.5891945850628274,0.04644671767226717,0.8305184426448999,-0.5592405194426718,-0.483896431160561,-0.1520816052569993,-1.570562531918633,Beta 2,5,dE(class),moefrags,1,1
