,s_score,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters,Receptor,hits_actual,Score Type,subset,match_features,quality,quality_pred
4,1.0204895166205343,-0.7217196352215894,0.20350231525950802,-0.0910895515812443,-0.3551253577805766,-0.17298285321486476,-0.030863600534136667,0.0,-0.5773502691896258,1.0754777972913117,0.4173650061841516,-0.743315535802422,-0.7276068751089987,0.0,2,5HT2B,3,dE(class),gh,6,1,0
7,-1.6706446794634073,-0.6695559213794428,-1.5497561309669994,-1.519380908961005,0.437318287744545,1.908075022061565,1.3725084838253303,0.0,1.7320508075688774,1.4836883486511654,-0.7883561227922861,-0.743315535802422,-0.7276068751089987,0.0,2,5HT2B,14,dU,gh,3,0,1
9,-0.6698465216758774,-0.7217196352215894,-0.7066476610597231,-0.8326452937909465,-2.0872831935454417,-1.2210973258330364,-1.8682290625294444,0.0,-0.5773502691896258,-1.3737855080103385,0.4173650061841516,0.867201457261824,2.4253562503633295,0.0,2,5HT2C,3,dE,gh,5,1,0
11,-0.8301816091431533,-0.38502657314955147,-1.2081127532698097,-0.982249364650328,-2.136149579739428,-0.9780661978466614,-1.6565068577592386,0.0,-0.5773502691896258,-0.5573644052906306,-0.7883561227922861,1.2698307062324865,-0.7276068751089987,0.0,2,5HT2C,74,dU,gh,3,0,0
12,0.6647032781372818,-0.4039951963648776,-0.13974085515086362,0.28465337091289716,-1.3840272990615452,-0.2507961169150082,-0.8145175115038752,0.0,-0.5773502691896258,-0.14915385393077654,-0.7883561227922861,-0.743315535802422,0.8488746876271653,0.0,2,A2A,70,dE(class),gh,5,0,0
13,0.7183335260495496,1.9575983939432198,0.05015201127391669,-0.011865673489560115,-0.7226830476153783,-1.3502500277220528,-1.12118426289079,0.0,-0.5773502691896258,-0.14915385393077654,-0.7883561227922861,-0.743315535802422,0.8488746876271653,0.0,2,A2A,568,dE,gh,3,0,0
15,-0.5602598038416254,-0.7217196352215894,-0.6990976258121882,-0.4251772202140438,0.9307860428261739,-0.3601472222190223,0.033589466707079546,0.0,1.7320508075688774,1.4836883486511654,-0.7883561227922861,-0.743315535802422,-0.7276068751089987,0.0,2,A2A,3,dU,gh,6,1,0
16,0.9194434240069761,1.9528562381393881,-0.6713678934930875,-0.6709138032797385,0.1648673807195374,-1.6562892837377379,-1.224104768449202,0.0,-0.5773502691896258,0.6672672459314575,0.4173650061841516,-0.743315535802422,-0.7276068751089987,0.0,2,A2C,567,dE(class),gh,3,0,0
18,1.14292225397403,-0.7027510120062633,-0.7926860786088675,-0.8292303829989146,-1.9496148015377666,-1.6849931169274053,-2.1618231178817275,0.0,1.7320508075688774,1.4836883486511654,-0.7883561227922861,-0.743315535802422,-0.7276068751089987,0.0,2,A2C,7,dU(class),gh,6,1,0
24,0.981248411613308,1.9528562381393881,-1.0420138115632778,-1.2121637310559872,-0.33169933674373175,0.6844231009503104,0.11877424170760731,0.0,-0.5773502691896258,0.6672672459314575,0.4173650061841516,-0.743315535802422,0.8488746876271653,0.0,2,H1,567,dE(class),gh,3,0,0
