,s_score,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters,Receptor,hits_actual,Score Type,subset,match_features,quality,quality_pred
0,0.6674316421080625,-0.5360939247128884,0.9618444205004902,0.8105699575388461,0.269503076086181,0.3303424940507462,-0.7403916341268894,0.0,-0.3944053188733077,0.226960970674324,0.48137290785426023,-0.8159108168286735,0.511992111589717,0.0,0.48795003647426666,5HT1B,57,dE(class),ef,5,0,1
1,-1.8088146391408477,-0.6829593002022276,-1.1690741141186745,-0.763801565674387,-1.921697174882281,-0.49663906571752886,-1.4244504645512723,0.0,-0.3944053188733077,-1.382398629320411,2.1501323217490285,0.26275094210042677,1.9910804339600103,0.0,0.48795003647426666,5HT1B,25,dE,ef,5,0,0
2,-0.2530969698159777,-0.058781454372536054,1.3447809605519405,0.7662691137537124,-0.21917495677339094,-0.08179006670201153,-0.30754973340722364,0.0,-0.3944053188733077,-0.30949222932392106,0.48137290785426023,-0.4563568971856401,0.511992111589717,0.0,0.48795003647426666,5HT1B,161,dU(class),ef,4,0,1
4,1.042710431493875,0.16610615184551458,0.44995548000919094,-0.3477926823116731,0.4304475640992056,-0.06885439115297783,0.37316570758930195,0.0,-0.3944053188733077,0.7634141669173966,0.48137290785426023,-0.8159108168286735,0.511992111589717,0.0,0.48795003647426666,5HT2B,210,dE(class),ef,5,0,1
6,1.042710431493875,-0.4167658071278003,0.29729972993150977,-0.5100021533459758,-0.3185060972189777,-0.06885439115297783,0.21017023292726975,0.0,-0.3944053188733077,0.7634141669173966,0.48137290785426023,-0.8159108168286735,0.511992111589717,0.0,0.48795003647426666,5HT2B,83,dU(class),ef,5,0,1
7,-1.2672489639582432,-0.701317472138395,0.25714992380212165,-0.32256313155048166,-0.25196835985122173,-0.7113039711830006,-1.195563120266886,0.0,2.53546276418555,-1.382398629320411,-1.1873865060405078,1.7009666181556828,-0.9670962107805762,0.0,0.48795003647426666,5HT2B,21,dU,ef,3,0,0
8,1.0505401165826307,-0.7150861010905205,0.44837171470369985,-0.5577538965233367,-0.2026271564049446,1.5417045636962061,1.0668759185377257,0.0,-0.3944053188733077,0.7634141669173966,0.48137290785426023,-0.8159108168286735,0.511992111589717,0.0,0.48795003647426666,5HT2C,18,dE(class),ef,5,0,1
9,-0.3552007669642414,-0.7426233589947716,0.2412079279179861,0.9551261836342272,-0.4374771479807054,-0.5041617495532784,-0.8233454955201015,0.0,-0.3944053188733077,-0.845945429322166,2.1501323217490285,-0.09680297754260671,1.9910804339600103,0.0,0.48795003647426666,5HT2C,12,dE,ef,5,0,0
10,1.015208874380863,-0.6416534133458509,0.10702688365789771,0.7460089278581707,-1.3473043377765384,-0.8794279836959685,-0.5543421777014235,0.0,-0.3944053188733077,1.2998673669156415,0.48137290785426023,-0.8159108168286735,-0.9670962107805762,0.0,0.48795003647426666,5HT2C,34,dU(class),ef,5,0,1
11,-0.8725608864887225,-0.701317472138395,0.10917782481462068,-0.29062031788986314,0.11085049844793454,-0.5041617495532784,0.45389571826526937,0.0,2.53546276418555,-1.382398629320411,-1.1873865060405078,1.7009666181556828,-0.9670962107805762,0.0,0.48795003647426666,5HT2C,21,dU,ef,3,0,0
12,0.9497806296271545,-0.577399811569265,0.09023234386990721,0.4763382904768986,-1.7128432504000044,0.35771690640525894,-0.6844387605482208,0.0,-0.3944053188733077,0.7634141669173966,0.48137290785426023,-0.8159108168286735,0.511992111589717,0.0,0.48795003647426666,A2A,48,dE(class),ef,5,0,1
13,-0.10210373007456705,-0.7472129019788135,0.38449747127808054,0.6060564926729152,-1.7128432504000044,0.35771690640525894,-0.5226717613246662,0.0,-0.3944053188733077,-0.30949222932392106,0.48137290785426023,-0.09680297754260671,0.511992111589717,0.0,0.48795003647426666,A2A,11,dE,ef,5,0,1
14,1.0333276645404348,1.7632671102920783,0.5847272525701513,0.5704266503224241,-0.320866304999085,0.7747374421911504,0.1286513473962798,0.0,-0.3944053188733077,0.7634141669173966,0.48137290785426023,-0.8159108168286735,0.511992111589717,0.0,0.48795003647426666,A2A,558,dU(class),ef,3,0,1
15,-0.6647608249979781,-0.7059070151224368,-1.140639597692841,-1.015238554093769,0.6548489706355949,0.15275659623055532,1.162036238979813,0.0,2.53546276418555,-1.382398629320411,-1.1873865060405078,1.7009666181556828,-0.9670962107805762,0.0,0.48795003647426666,A2A,20,dU,ef,3,1,0
16,1.1008406364426322,1.8091625401324967,-2.000673290080049,-1.7884188937886667,-0.7993724307489355,1.286251527913623,0.7961424899771916,0.0,-0.3944053188733077,0.7634141669173966,0.48137290785426023,-0.8159108168286735,0.511992111589717,0.0,0.48795003647426666,A2C,568,dE(class),ef,3,0,1
18,0.9540587049849282,1.799983454164413,0.357823226597197,-0.010115770520383342,-0.019089078890502393,-0.5115487555687324,0.410704608470788,0.0,-0.3944053188733077,1.8363205669138867,0.48137290785426023,-0.8159108168286735,-0.9670962107805762,0.0,0.48795003647426666,A2C,566,dU(class),ef,3,0,1
19,-1.4125072109943222,-0.5728102685852232,1.1359274224373523,0.6528034022555872,0.6928601486043776,-0.1841403653198955,0.8485887100242057,0.0,-0.3944053188733077,-0.845945429322166,-1.1873865060405078,1.3414126985126495,-0.9670962107805762,0.0,0.48795003647426666,A2C,49,dU,ef,3,1,0
20,1.088186781121642,-0.34792266236717256,-1.7331750013437304,-1.8276453373450587,-0.7316975048634249,0.5204273508335733,-0.27218580740304277,0.0,-0.3944053188733077,1.8363205669138867,-1.1873865060405078,-0.8159108168286735,-0.9670962107805762,0.0,0.48795003647426666,Beta 2,98,dE(class),ef,4,0,1
21,0.3712200162703145,-0.49478803785651176,0.8947738905660716,0.4840159561313854,0.07412797501678552,-0.9946665801363431,-0.7226146452129165,0.0,-0.3944053188733077,-0.30949222932392106,0.48137290785426023,-0.09680297754260671,1.9910804339600103,0.0,0.48795003647426666,Beta 2,66,dE,ef,5,1,1
22,1.0605053515180458,0.8224107985634991,-0.0003758469577779723,-0.7955037263070519,0.07412797501678552,-0.9946665801363431,-0.6545428191372645,0.0,-0.3944053188733077,1.8363205669138867,0.48137290785426023,-0.8159108168286735,-0.9670962107805762,0.0,0.48795003647426666,Beta 2,353,dU(class),ef,4,0,1
24,1.0967424335754428,1.8045729971484548,-1.0300308035631076,-0.9715291880464209,-0.7242456520780141,-0.09954109449166727,-0.2242027034784989,0.0,-0.3944053188733077,1.2998673669156415,0.48137290785426023,-0.8159108168286735,0.511992111589717,0.0,0.48795003647426666,H1,567,dE(class),ef,3,0,1
25,1.035592264179508,1.8137520831165386,-1.6157417753843222,-1.4924371571250388,-0.7242456520780141,0.056120904463426644,0.24831058861601,0.0,-0.3944053188733077,0.226960970674324,2.1501323217490285,-0.8159108168286735,1.9910804339600103,0.0,0.48795003647426666,H1,569,dE,ef,3,0,1
26,1.017797344155337,1.8045729971484548,0.27738531216320483,-0.3208327104632478,-0.7242456520780141,0.056120904463426644,-0.053515863465997224,0.0,-0.3944053188733077,0.7634141669173966,0.48137290785426023,-0.8159108168286735,0.511992111589717,0.0,0.48795003647426666,H1,567,dU(class),ef,3,0,1
27,-0.5197118478955426,-0.24236317373421004,-0.20159072314935658,0.5957935151473434,-1.7715076004591406,-0.43722065308713753,-1.4485804667293722,0.0,-0.3944053188733077,-1.382398629320411,0.48137290785426023,0.981858778869616,-0.9670962107805762,0.0,0.48795003647426666,H1,121,dU,ef,3,0,0
28,0.8023150830528809,0.13397935095722163,-1.2959095327477947,-1.0120161973264823,0.3583077871379377,0.2128567409163662,0.2987040233855679,0.0,-0.3944053188733077,0.7634141669173966,0.48137290785426023,-0.8159108168286735,0.511992111589717,0.0,0.48795003647426666,M1,203,dE(class),ef,5,0,1
29,-1.3343598386307967,1.799983454164413,-1.1308687817996823,-0.9840296214312602,-2.188768945956599,-0.06388370682837191,-1.108806812518386,0.0,-0.3944053188733077,-0.845945429322166,-1.1873865060405078,0.6223048592265827,0.511992111589717,0.0,0.48795003647426666,M1,566,dE,ef,3,0,0
31,-1.5151441482116306,-0.6416534133458509,1.011447522637997,-0.24279822128177275,0.9194978361773345,0.30780377984618695,-0.46852250023176245,0.0,-0.3944053188733077,-0.845945429322166,-1.1873865060405078,1.3414126985126495,-0.9670962107805762,0.0,0.48795003647426666,M1,34,dU,ef,3,0,0
32,0.8967909911198311,-0.7472129019788135,1.6907815083871855,1.698911229542643,0.8495104372573764,1.497599819609649,1.8453341101731393,0.0,-0.3944053188733077,1.2998673669156415,0.48137290785426023,-0.8159108168286735,-0.9670962107805762,0.0,0.48795003647426666,M2,11,dE(class),ef,5,1,1
36,0.3706021717043188,1.7311403094037852,-0.020251923528993375,-0.16357040974277132,2.1690071284438517,-1.4591472059342445,-0.73615438078014,0.0,-0.3944053188733077,-0.30949222932392106,0.48137290785426023,-0.8159108168286735,0.511992111589717,0.0,0.48795003647426666,M4,551,dE(class),ef,3,0,1
38,0.5260050279046505,1.799983454164413,-0.3685452749501932,-0.2308565628343665,2.1690071284438517,-1.4591472059342445,-0.5813508728599566,0.0,-0.3944053188733077,0.226960970674324,0.48137290785426023,-0.8159108168286735,0.511992111589717,0.0,0.48795003647426666,M4,566,dU(class),ef,3,0,1
