,s_score,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters,Receptor,hits_actual,Score Type,subset,match_features,quality,quality_pred
13,-0.11679846330037379,1.3857519462680503,0.7650514934894719,0.2416028434509842,0.4253004586580692,0.6075173972641036,-0.18235628352753688,0.14002800840280047,0.0,-0.7149896805305316,-1.117647058823529,0.10409614276154344,-1.0481673094120896,0.0,1,A2A,562,dE,gh,3,0,0
20,1.0455425763673314,1.1598752307485132,0.67883372770298,0.6417650184200822,-0.7635277008350523,0.3373707943826533,-0.3223505288269963,0.14002800840280047,0.0,0.6836108223872492,0.4117647058823534,-0.8653962833141841,-1.0481673094120896,0.0,1,Beta 2,511,dE(class),gh,3,0,1
21,0.4778113485506225,1.0801540370357354,0.9862176384507936,0.6520985548295338,-0.04316355573912916,-1.2720717421399172,-0.805810244246483,0.14002800840280047,0.0,-0.7149896805305316,0.4117647058823534,0.10409614276154344,2.0663869814124056,0.0,1,Beta 2,493,dE,gh,4,0,0
29,-0.8888852154923068,1.3370334389991305,0.9478935911382618,0.4252553398633013,0.7381388829802314,-0.28332674227740207,-0.8899149524136277,0.14002800840280047,0.0,-0.7149896805305316,-1.117647058823529,0.10409614276154344,0.509109836000158,0.0,1,M1,551,dE,gh,3,0,0
31,-0.35529623502071683,-1.0501734171779387,1.0117901475435798,-0.10632415859533037,1.2013939266883773,-0.7139876919250955,-0.8155767162064221,0.14002800840280047,0.0,-0.7149896805305316,0.4117647058823534,0.5888423557994072,0.509109836000158,0.0,1,M1,12,dU,gh,5,0,0
32,0.010276550649340115,-1.0988919244468585,1.7725831708363156,1.910502179930747,0.7148357226271864,1.3753941833089054,1.9875142217408113,0.14002800840280047,0.0,1.3829110762936905,-1.117647058823529,-0.3806500702763203,-1.0481673094120896,0.0,1,M2,1,dE(class),gh,5,1,1
33,-1.327089747521947,-1.0900340140343276,1.698651050165962,1.8527652362666078,0.7148357226271864,0.3782770933823598,1.0032437841065316,0.14002800840280047,0.0,-1.414289934436973,0.4117647058823534,1.0735885654440476,-1.0481673094120896,0.0,1,M2,3,dE,gh,4,1,0
34,0.3983528142165836,-1.0856050588280621,1.398801970953687,1.6542654642780619,0.6499861875742087,1.3753941833089054,1.8102557722545947,0.14002800840280047,0.0,2.082211330200132,-1.117647058823529,-0.3806500702763203,-1.0481673094120896,0.0,1,M2,4,dU(class),gh,5,1,1
36,0.6647832416720658,1.4034677670931122,-0.34152216070739155,-0.1982443452501195,1.8295444537694439,-1.7654767127949074,-0.7247283013104641,0.14002800840280047,0.0,-0.01568942662409019,0.4117647058823534,-0.8653962833141841,0.509109836000158,0.0,1,M4,566,dE(class),gh,3,0,0
38,0.5803744308755188,1.4034677670931122,-0.34152216070739155,-0.19245792982365265,1.8295444537694439,-1.7654767127949074,-0.7481789008895479,0.14002800840280047,0.0,-0.01568942662409019,0.4117647058823534,-0.8653962833141841,0.509109836000158,0.0,1,M4,566,dU(class),gh,3,0,0
41,-0.9625431790849865,-0.5807041653138026,1.5176343369722887,0.7942876771801977,0.38334352752173106,1.9795881593666544,1.9703632909656719,0.14002800840280047,0.0,-2.113590188343414,-1.117647058823529,1.0735885654440476,0.509109836000158,0.0,1,OPRD,118,dE,gh,3,1,1
44,0.7912640269763298,1.2528832900800873,0.6810157645538542,1.3212514925287322,0.5219529770842953,0.5259386838927781,0.4990899206174199,0.14002800840280047,0.0,1.3829110762936905,0.4117647058823534,-0.8653962833141841,-1.0481673094120896,0.0,1,OPRK,532,dE(class),gh,3,0,1
46,0.480591908577441,0.0526364291821546,0.6810157645538542,0.8148631145009972,0.5219529770842953,-1.165602561327386,-0.6178424577407089,0.14002800840280047,0.0,0.6836108223872492,0.4117647058823534,-0.8653962833141841,0.509109836000158,0.0,1,OPRK,261,dU(class),gh,4,0,0
48,0.6234315739270081,-0.8242967016584015,1.3386087208329294,1.3096238295203992,0.8290094734839486,1.7741093703980282,1.7433726847552722,0.14002800840280047,0.0,0.6836108223872492,0.4117647058823534,-0.8653962833141841,0.509109836000158,0.0,1,OPRM,63,dE(class),gh,5,0,1
49,-0.4140593884873109,-0.33711162896920366,1.134201303955167,1.7302716925383386,0.8290094734839486,0.701442035228609,1.5790825595789912,0.14002800840280047,0.0,-0.7149896805305316,0.4117647058823534,0.10409614276154344,0.509109836000158,0.0,1,OPRM,173,dE,gh,4,0,1
50,0.4367333387343905,0.9561432912603033,0.6294129537408922,0.3875896408846302,0.37685176286627964,1.1987402665461087,1.0369045301262456,0.14002800840280047,0.0,0.6836108223872492,0.4117647058823534,-0.8653962833141841,0.509109836000158,0.0,1,OPRM,465,dU(class),gh,4,0,1
51,-0.9762260755262727,0.9605722464665688,1.0713008746824504,1.3148601248981722,0.6986982204846127,1.3172497300504038,1.339449456764524,0.14002800840280047,0.0,-0.7149896805305316,-1.117647058823529,1.558334778481911,-1.0481673094120896,0.0,1,OPRM,466,dU,gh,3,0,1
