,s_score,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters,Receptor,hits_actual,Score Type,subset,match_features,quality,quality_pred
3,-1.50389039557567,-0.8126584296859576,-1.0796572006559408,-0.9300765945401664,-1.5523795833439429,-0.1267422616708064,-1.1492475222274314,0.0,-0.457495710997814,-0.6464003836442056,-0.8905635565617211,1.0597692562198024,0.0,0.0,-1.8257418583505534,5HT1B,3,dU,rec_ef,5,1,0
5,-1.5998594806151387,-0.7532170643464524,-2.0509375883791643,-1.7889007409950564,-2.2063070707299035,-0.5545448827720252,-1.8150363875389346,0.0,2.185812841434,-1.179937209069369,-0.8905635565617211,1.4199522718505495,0.0,0.0,-1.8257418583505534,5HT2B,16,dE,rec_ef,3,0,0
6,1.3550575253888988,-0.8126584296859576,-0.49619509924094224,-0.38267481261669184,0.5331226544774006,-1.1536637040297095,-0.9129921591836622,0.0,-0.457495710997814,0.4206732672061211,1.1228844843604313,-1.1013288350433994,0.0,0.0,-1.8257418583505534,5HT2B,3,dU(class),rec_ef,6,1,1
12,0.8076440327229248,-0.8035136042491107,-2.0658578773983347,-1.7971393725239717,-1.1420498118366305,0.5629990575503672,-0.08316166956367048,0.0,-0.457495710997814,-0.6464003836442056,1.1228844843604313,-0.3809628037819051,0.0,0.0,-1.8257418583505534,A2A,5,dE(class),rec_ef,5,1,0
25,1.0645989449013449,-0.8172308424043812,-0.5543262881147049,-0.45198124035989046,-1.167777853296323,0.16892940947275673,-0.30579306315313715,0.0,-0.457495710997814,-0.6464003836442056,1.1228844843604313,0.3394032249583081,0.0,0.0,-1.8257418583505534,H1,2,dE,rec_ef,5,1,1
32,0.4670561142130019,-0.8218032551228046,1.052048552378377,0.33589411468819025,1.25336426523,-1.811155274702206,0.03458070501718285,0.0,-0.457495710997814,1.48774691432169,-0.8905635565617211,-0.7411458194126523,0.0,0.0,-1.8257418583505534,M2,1,dE(class),rec_ef,5,1,1
33,-0.7071142864451787,-0.7943687788122638,1.0286445242136997,1.1675367501218674,0.5948565238014817,-1.811155274702206,-0.20524943861213762,0.0,-0.457495710997814,-0.6464003836442056,-0.8905635565617211,1.0597692562198024,0.0,0.0,-1.8257418583505534,M2,7,dE,rec_ef,4,1,0
34,0.08548998515861843,-0.7943687788122638,0.6477139085976399,1.2484032141417503,0.900247057036186,-1.811155274702206,0.04930122423046676,0.0,-0.457495710997814,0.4206732672061211,1.1228844843604313,-0.7411458194126523,0.0,0.0,-1.8257418583505534,M2,7,dU(class),rec_ef,5,1,1
35,-1.047825565742182,-0.7897963660938402,-0.08278858066155285,0.013862329402534207,0.22622255301863936,-1.811155274702206,-0.5044304526830536,0.0,-0.457495710997814,-0.6464003836442056,-0.8905635565617211,1.0597692562198024,0.0,0.0,-1.8257418583505534,M2,8,dU,rec_ef,4,1,0
37,-1.2171438533175132,-0.7943687788122638,-0.05515420823672751,-0.26535039309054276,-0.1968699097228984,-0.8201709897324623,-0.7649949078230456,0.0,-0.457495710997814,-0.6464003836442056,1.1228844843604313,-0.02077978815115791,0.0,0.0,-1.8257418583505534,M4,7,dE,rec_ef,5,0,0
43,-0.7411001832856242,-0.7806515406569933,-1.610315025756545,-1.446817524342882,0.7148016149125747,2.3153009720837927,2.0158059650010087,0.0,-0.457495710997814,0.4206732672061211,-0.8905635565617211,0.3394032249583081,0.0,0.0,-1.8257418583505534,OPRD,10,dU,rec_ef,5,1,1
47,-0.5936560061829171,-0.8172308424043812,0.24119020479197104,0.5825340723299931,0.9819001338531085,0.1218189579897083,0.2252935803578364,0.0,2.185812841434,-1.179937209069369,-0.8905635565617211,1.4199522718505495,0.0,0.0,-1.8257418583505534,OPRK,2,dU,rec_ef,4,1,0
