,s_score,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters,Receptor,hits_actual,Score Type,subset,match_features,quality,quality_pred
0,-0.18712812850817898,-0.9706013017782609,-0.33790302688952367,-0.01657781260688603,-1.7924577508754107,-0.9897065533822994,-1.4063661527759526,0.14002800840280047,-0.14002800840280097,0.5787955613865058,0.0,-0.9355546962728076,0.0,0.0,2,5HT1B,7,dE(class),rec_gh,6,0,0
2,0.7218145516586117,-0.3394326525197247,-0.4503154593253061,-0.7387211898751124,-1.7924577508754107,-0.9544293699702205,-1.6003829907095255,0.14002800840280047,-0.14002800840280097,0.5787955613865058,0.0,-0.9355546962728076,0.0,0.0,2,5HT1B,149,dU(class),rec_gh,5,0,0
4,-0.020516113116935887,-0.9883807003489239,-0.1353263032497281,-0.27450976833773316,-0.2630754270855523,-0.5875551854660256,-0.965323011965849,0.14002800840280047,-0.14002800840280097,-0.605363227273885,0.0,0.058970229380283685,0.0,0.0,2,5HT2B,3,dE(class),rec_gh,5,1,0
5,-0.9111778953854597,-0.8550352110689514,0.24957776261412942,-0.11354003439917057,-0.5494126379984835,-0.6520312950210244,-1.4719090929707697,0.14002800840280047,-0.14002800840280097,-0.605363227273885,0.0,0.556232688725992,0.0,0.0,2,5HT2B,33,dE,rec_gh,4,0,0
6,1.4790556196436637,-0.9083734067809405,-0.09262631656219161,0.15105661355127978,-1.4399943987600987,-0.6416876284280014,-1.035947902378087,0.14002800840280047,-0.14002800840280097,-0.013283830871411691,0.0,-1.432817159099353,0.0,0.0,2,5HT2B,21,dU(class),rec_gh,5,0,0
8,0.7251214521079639,1.394058708119917,-0.07709407244118206,0.18011893782907057,-0.9342947785794583,-0.639600845002187,-0.16433152988634755,0.14002800840280047,-0.14002800840280097,0.5787955613865058,0.0,-0.43829223344626195,0.0,0.0,2,5HT2C,539,dE(class),rec_gh,3,0,0
9,-2.054078890479336,-0.9083734067809405,-0.7014936528720442,-0.484926395568953,-1.7522994191798558,-0.7752698714766374,-1.7794861515951228,0.14002800840280047,7.141428428542849,-1.7895220200788315,0.0,2.0480200772056287,0.0,0.0,2,5HT2C,21,dE,rec_gh,3,0,0
10,1.6331493536001558,-0.8417006621409542,-0.09997594444079433,0.6004619971943419,-0.9342947785794583,-1.1668011881867748,-0.5993966729231099,0.14002800840280047,-0.14002800840280097,1.7629543541914525,0.0,-1.432817159099353,0.0,0.0,2,5HT2C,36,dU(class),rec_gh,5,0,0
13,-0.16428801283062788,-0.9394873542796007,0.597252951505753,-0.12879792945634652,0.4582059913321893,-0.29480387643053113,-0.34246538146616995,0.14002800840280047,-0.14002800840280097,-0.605363227273885,0.0,0.058970229380283685,0.0,0.0,2,A2A,14,dE,rec_gh,5,1,0
15,-0.16301612804241547,0.6784379156507315,-2.0129739169839946,-1.744692551717818,1.1652374921171156,2.1496241164834164,1.984039174840338,0.14002800840280047,-0.14002800840280097,-0.013283830871411691,0.0,0.556232688725992,0.0,0.0,2,A2A,378,dU,rec_gh,4,0,1
16,1.0965215939950999,-0.8994837074956089,0.2568902873541736,0.3485483737927188,-0.56817971061949,-0.8997308100093866,-0.4354725415333151,0.14002800840280047,-0.14002800840280097,1.170874957788979,0.0,-0.9355546962728076,0.0,0.0,2,A2C,23,dE(class),rec_gh,5,0,0
20,1.2827553673632601,1.4607314527599031,0.4445900266224358,0.5601910111915397,-0.9622081428256822,-1.4109042131907195,-0.7598324984233759,0.14002800840280047,-0.14002800840280097,1.7629543541914525,0.0,-0.9355546962728076,0.0,0.0,2,Beta 2,554,dE(class),rec_gh,3,0,0
21,1.1692098096414338,-0.31720840430639596,-0.0008652162098572761,-0.43201225003916255,-1.4532128177612411,-1.4573056017531911,-1.7119976691508576,0.14002800840280047,-0.14002800840280097,1.170874957788979,0.0,-0.43829223344626195,0.0,0.0,2,Beta 2,154,dE,rec_gh,5,0,0
22,1.0759219522906305,1.4918454002585633,-0.24210020378325656,-0.07015093659243662,-1.1561579315559658,-1.4109042131907195,-1.540867157812678,0.14002800840280047,-0.14002800840280097,1.7629543541914525,0.0,-0.9355546962728076,0.0,0.0,2,Beta 2,561,dU(class),rec_gh,3,0,0
23,-0.5832762132551848,0.9940222402799996,-1.8318685964024717,-1.6627293032733264,-1.1257235981375764,-0.5917820209515512,-1.0685216865120133,0.14002800840280047,-0.14002800840280097,-0.013283830871411691,0.0,0.556232688725992,0.0,0.0,2,Beta 2,449,dU,rec_gh,4,0,0
24,1.3983398542378822,-0.9794910010635924,-1.9216813010138878,-1.7033180842284494,-1.6265213075985911,-0.17296136678120863,-1.0836289033914737,0.14002800840280047,-0.14002800840280097,1.7629543541914525,0.0,-0.9355546962728076,0.0,0.0,2,H1,5,dE(class),rec_gh,6,1,0
