,s_score,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters,Receptor,hits_actual,Score Type,subset,match_features,quality,quality_pred
3,-0.6567195293515079,-0.6629804506316725,-1.1427953410526577,-1.015010697493293,0.3769097674956956,1.2074638903298296,1.0698405682795449,0.0,-0.5773502691896258,-0.6141148995944136,-0.6936420825121394,1.2620978078741663,-0.6767155423319645,-0.3569784704642942,-1.647508942095828,5HT1B,2,dU,moefrags,5,1,1
4,1.1399341559524658,-0.667754056756409,1.2038612163511855,1.011597805537286,0.41121590608545233,-0.2103825070839688,0.3094077368787558,0.0,-0.5773502691896258,1.089030421987167,0.7491334495170877,-0.9377598241722102,0.9989610386805189,-0.3569784704642942,-1.647508942095828,5HT2B,1,dE(class),moefrags,6,1,1
6,1.248527163493898,-0.658206844506936,0.7833948963482865,0.7073739837557317,-0.37721078112547507,0.571307801664638,-0.1292695378946297,0.0,1.7320508075688774,1.9406030842682098,-0.6936420825121394,-0.9377598241722102,-0.6767155423319645,-0.3569784704642942,-1.647508942095828,5HT2B,3,dU(class),moefrags,6,1,1
15,-0.6048906402967755,-0.658206844506936,-0.44549099128799075,-0.9163644662324785,-1.2977655947765212,-0.27441521507114186,-0.9645437826629059,0.0,-0.5773502691896258,-1.039901230734935,-0.6936420825121394,-0.5711168850700641,-0.6767155423319645,4.283741644217988,-1.647508942095828,A2A,3,dU,moefrags,3,0,0
18,1.2499781455237908,-0.6391124200079901,-1.0085517629178717,-1.060303797722631,-1.9946953459615275,-1.7527492008579808,-2.003292801594747,0.0,1.7320508075688774,1.9406030842682098,-0.6936420825121394,-0.9377598241722102,-0.6767155423319645,-0.3569784704642942,-1.647508942095828,A2C,7,dU(class),moefrags,6,1,0
19,-1.2103424318059257,-0.5961499648853615,-1.8020053018594702,-1.678772550251639,-3.079230065642452,-1.2651752957236206,-2.1793932685185817,0.0,1.7320508075688774,-1.039901230734935,-0.6936420825121394,1.6287407469763124,-0.6767155423319645,-0.3569784704642942,-1.647508942095828,A2C,16,dU,moefrags,3,1,0
23,-1.1263934324086835,-0.6056971771348346,-1.9971155174706317,-1.9424347319156805,0.8641168594597509,2.228934923826639,1.742314030117414,0.0,1.7320508075688774,-1.039901230734935,-0.6936420825121394,1.6287407469763124,-0.6767155423319645,-0.3569784704642942,-1.647508942095828,Beta 2,14,dU,moefrags,3,0,0
28,0.9728245083064704,-0.6534332383821996,1.350576877265502,1.2584207598930226,0.4426976038578278,-0.519035283166994,0.13931811158193771,0.0,-0.5773502691896258,0.23745776268662894,0.7491334495170877,-0.9377598241722102,2.6746376196930024,-0.3569784704642942,-1.647508942095828,M1,4,dE(class),moefrags,6,1,1
29,-0.945753259175793,-0.658206844506936,-0.32497091673001793,0.03536582685376252,0.45763263145778477,0.9883435517847886,0.4789201817085871,0.0,-0.5773502691896258,-0.6141148995944136,0.7491334495170877,0.5288119296698739,0.9989610386805189,-0.3569784704642942,-1.647508942095828,M1,3,dE,moefrags,5,1,0
34,1.2524656108082612,-0.6343388138832535,-0.026138571040075186,-0.007271108414676129,-0.3955275388771866,-1.1885902543280769,-0.4834713597010007,0.0,1.7320508075688774,1.9406030842682098,-0.6936420825121394,-0.9377598241722102,-0.6767155423319645,-0.3569784704642942,-1.647508942095828,M2,8,dU(class),moefrags,6,1,1
36,1.2419627695482371,-0.648659632257463,0.3796273753420352,0.6064856184760437,0.3918070521510997,-0.24074750139670725,-0.12409042545736208,0.0,-0.5773502691896258,1.5148167531276882,-0.6936420825121394,-0.9377598241722102,0.9989610386805189,-0.3569784704642942,-1.647508942095828,M4,5,dE(class),moefrags,6,1,1
38,0.6012818905654258,-0.6629804506316725,0.9649524106549894,0.8543447323849073,0.340897911573178,-0.7316965402613973,-0.31230012949219166,0.0,-0.5773502691896258,0.6632440908466458,0.7491334495170877,-0.9377598241722102,0.9989610386805189,-0.3569784704642942,-1.647508942095828,M4,2,dU(class),moefrags,6,1,1
45,-1.2324427313882647,-0.667754056756409,0.4759771828428009,1.1688784296486683,0.501971108470593,-0.14130467665938642,0.6780891753098175,0.0,-0.5773502691896258,-1.039901230734935,-0.6936420825121394,1.2620978078741663,-0.6767155423319645,-0.3569784704642942,-1.647508942095828,OPRK,1,dE,moefrags,4,1,0
47,-1.7820246252578025,-0.6152443893843076,-1.3679603692914164,-1.4093860819367265,0.501971108470593,1.6723050972763245,0.996766587553123,0.0,-0.5773502691896258,-0.6141148995944136,-0.6936420825121394,1.2620978078741663,-0.6767155423319645,-0.3569784704642942,-1.647508942095828,OPRK,12,dU,moefrags,4,0,0
