,s_score,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters,Receptor,hits_actual,Score Type,subset,match_features,quality,quality_pred
2,1.4823546900960913,1.748138038344949,0.38495435038699166,-0.6474360411015436,-0.18688444416086372,-0.14878643484006396,-0.40711958423626254,0.0,1.4348601079588785,1.7947636254477375,-0.727606875108999,-1.0402216028164037,0.0,0.0,2,5HT1B,555,dU(class),rec_ef,3,0,0
6,1.4886053113898492,-0.8965093433178957,0.6499027920034113,0.9212964976867887,-0.3417136441094026,0.5589430082097646,0.0997542411518032,0.0,1.4348601079588785,1.7947636254477375,-0.727606875108999,-1.0402216028164037,0.0,0.0,2,5HT2B,2,dU(class),rec_ef,6,1,1
8,0.8960825899709425,1.748138038344949,-0.42388162137944574,-0.1663147347188812,0.37397966439523384,-1.1989006048509778,0.10575573284277352,0.0,-0.6969320524371695,0.9539734576434207,1.3743685418725535,-1.0402216028164037,0.0,0.0,2,5HT2C,555,dE(class),rec_ef,3,0,0
10,1.4982218959526439,-0.38001401380688804,-1.1092473750400103,-0.9534376794714234,0.37397966439523384,1.2485811946352363,0.9460868186600427,0.0,1.4348601079588785,1.7947636254477375,-0.727606875108999,-1.0402216028164037,0.0,0.0,2,5HT2C,110,dU(class),rec_ef,5,0,1
11,-1.2484919301203956,-0.8247738808858113,-1.2925503658344337,-1.3034054809678743,-1.6498066673552412,-1.990037309807633,-2.333341997296831,0.0,1.4348601079588785,-1.1480019589246055,-0.727606875108999,1.402621387117971,0.0,0.0,2,5HT2C,17,dU,rec_ef,3,0,0
12,0.032832544413808784,-0.8343386092100892,-0.00819673201161308,-0.21137000530654484,-1.0162498523724368,-0.6617308481037641,-0.8130120707307474,0.0,-0.6969320524371695,0.1131832927818696,1.3743685418725535,-0.6912440324768013,0.0,0.0,2,A2A,15,dE(class),rec_ef,5,0,0
13,-0.7642459636528809,0.40907607294604026,-0.5128447504513963,-0.39469589861105087,-1.640823706448605,-0.6333246388498113,-1.1670356757597722,0.0,-0.6969320524371695,-1.1480019589246055,1.3743685418725535,0.006711108202403771,0.0,0.0,2,A2A,275,dE,rec_ef,3,0,0
16,1.3959667456238134,-0.8821622508314788,-0.985447315359599,-1.015490000399392,-1.918059645230459,-1.8564985784572836,-2.170930177548382,0.0,-0.6969320524371695,1.3743685415455793,-0.727606875108999,-1.0402216028164037,0.0,0.0,2,A2C,5,dE(class),rec_ef,6,1,0
18,1.4946956739044561,-0.8725975225072009,-0.9789808972849828,-1.038950872624045,-1.886961766928601,-1.8564985784572836,-2.1921998247112815,0.0,1.4348601079588785,1.7947636254477375,-0.727606875108999,-1.0402216028164037,0.0,0.0,2,A2C,7,dU(class),rec_ef,6,1,0
19,-0.6078323373876029,-0.8391209733722281,-1.9710634915379939,-1.9601978706875516,-3.0179297261070133,-1.42618026627083,-2.464519846888899,0.0,1.4348601079588785,-1.1480019589246055,-0.727606875108999,1.402621387117971,0.0,0.0,2,A2C,14,dU,rec_ef,3,1,0
24,1.144689442424549,-0.41349056294186076,-0.0686713700104796,-0.6185638592873057,-1.0460646648147682,-0.126288520881405,-0.533248539711263,0.0,-0.6969320524371695,0.9539734576434207,-0.727606875108999,-1.0402216028164037,0.0,0.0,2,H1,103,dE(class),rec_ef,5,0,0
27,-0.8046703151067586,-0.8056444242372555,-0.10965004852340775,-0.30993190321121256,-0.4472052240333889,0.8731226470053367,0.025988947902285592,0.0,1.4348601079588785,-1.1480019589246055,-0.727606875108999,1.402621387117971,0.0,0.0,2,H1,21,dU,rec_ef,3,0,0
28,0.25854883679189067,-0.8343386092100892,0.20048588958777863,0.30046684401536833,0.21898199680742003,-0.785262440629948,0.26690047930757027,0.0,-0.6969320524371695,0.5335783737412624,1.3743685418725535,-0.6912440324768013,0.0,0.0,2,M1,15,dE(class),rec_ef,5,1,0
34,1.4982218959526439,-0.8821622508314788,0.06134690384021791,0.02713389520874186,-0.35921238020079466,0.09627851259515412,0.10832761931692178,0.0,1.4348601079588785,1.7947636254477375,-0.727606875108999,-1.0402216028164037,0.0,0.0,2,M2,5,dU(class),rec_ef,6,1,1
35,-0.6007026728893916,-0.8247738808858113,-1.467422815660588,-1.5799624960291554,0.4591775532978785,1.1246789778403314,0.4752254705118964,0.0,1.4348601079588785,-1.1480019589246055,-0.727606875108999,1.402621387117971,0.0,0.0,2,M2,17,dU,rec_ef,3,0,0
36,1.2626176897916204,-0.7912973317508386,0.617622180610393,0.8315326475608997,-0.14515486592283405,-0.07844906621065116,4.103367010245919e-05,0.0,-0.6969320524371695,0.5335783737412624,-0.727606875108999,-1.0402216028164037,0.0,0.0,2,M4,24,dE(class),rec_ef,5,0,0
40,0.28798779272441466,-0.6621734993730867,0.13689124929497484,0.007148359997027963,0.19453577046384546,-1.1095164949197351,-0.10846275043125161,0.0,-0.6969320524371695,-0.30721179112028885,1.3743685418725535,-0.6912440324768013,0.0,0.0,2,OPRD,51,dE(class),rec_ef,5,0,0
41,-0.9169413746791071,0.8251417550521297,-1.737957525830853,-1.603262261244145,-0.5958759958350711,-0.02018307463352826,-0.23432766764209967,0.0,-0.6969320524371695,0.1131832927818696,-0.727606875108999,0.35568867609916327,0.0,0.0,2,OPRD,362,dE,rec_ef,4,0,0
42,0.6754755378786707,1.021218685699827,-0.4169927230725614,-0.5174636532338734,0.19453577046384546,-0.27532130328822985,-0.3904168185110424,0.0,-0.6969320524371695,0.1131832927818696,1.3743685418725535,-1.0402216028164037,0.0,0.0,2,OPRD,403,dU(class),rec_ef,4,0,0
43,-0.8253928859554165,0.8347064833764076,-1.737957525830853,-1.6436737978307299,-0.5958759958350711,0.12781666706101452,-0.3382918700140904,0.0,-0.6969320524371695,0.1131832927818696,-0.727606875108999,0.35568867609916327,0.0,0.0,2,OPRD,364,dU,rec_ef,4,0,0
49,-1.3165357979019128,1.509019830238001,-1.555456525831763,-1.4491589324209704,-2.218466783906498,-0.7000730913346128,-1.5422849098173568,0.0,-0.6969320524371695,-0.30721179112028885,-0.727606875108999,0.7046662464387657,0.0,0.0,2,OPRM,505,dE,rec_ef,3,0,0
51,-0.8007828496719033,1.4420667319680556,-1.2149219209041795,-1.181947247455977,-0.9159786694200661,-0.7000730913346128,-1.3415167882591974,0.0,-0.6969320524371695,-0.30721179112028885,-0.727606875108999,0.7046662464387657,0.0,0.0,2,OPRM,491,dU,rec_ef,3,0,0
