,s_score,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters,Receptor,hits_actual,Score Type,subset,match_features,quality,quality_pred
0,0.14030448333811368,-0.6413041347790955,1.0506513348587565,1.3698242270204581,1.3271538389949389,0.40490749807065446,0.7534760418774938,0.14002800840280047,-0.5773502691896258,0.7301893737020577,0.0,-0.6580482086601719,0.0,0.0,1,5HT1B,15,dE(class),rec_gh,5,0,1
1,0.09056717198026781,1.5467787754835982,0.00037108499087578094,-0.4743436372945783,0.22577078453948268,0.32464647629325266,0.4864037707797273,0.14002800840280047,-0.5773502691896258,-0.1579941905708224,0.0,-0.26697955839463083,0.0,0.0,1,5HT1B,443,dE,rec_gh,4,0,1
2,1.1711751153739764,2.129585905787213,1.07988881957997,1.380438615112381,1.3271538389949389,-0.04678201904176313,0.3553611841603042,0.14002800840280047,1.7320508075688774,1.6183729410835805,0.0,-1.049116858925713,0.0,0.0,1,5HT1B,557,dU(class),rec_gh,3,0,1
4,0.3588995789237521,-0.7026522537584233,0.7837751552670718,0.8236471695732441,-0.6106242349673927,0.10311279572896857,-0.505835209537238,0.14002800840280047,-0.5773502691896258,1.1742811573928191,0.0,-0.6580482086601719,0.0,0.0,1,5HT2B,3,dE(class),rec_gh,6,1,1
5,-1.2236665152416861,-0.6208547617859862,0.4180801173595904,0.818148388370347,0.1816678487101321,0.1444811081954196,0.2197698986295898,0.14002800840280047,1.7320508075688774,-1.4902695416431064,0.0,1.6883636901955938,0.0,0.0,1,5HT2B,19,dE,rec_gh,3,0,0
6,0.4765549083296837,-0.7026522537584233,0.7837751552670718,0.8864613606858325,-0.2239248835850774,-0.2613203631094167,-0.16232208921544197,0.14002800840280047,-0.5773502691896258,1.1742811573928191,0.0,-0.6580482086601719,0.0,0.0,1,5HT2B,3,dU(class),rec_gh,6,1,1
10,1.1752788098468647,2.144922935532045,0.004261739298786164,0.05437757487336259,-0.7556139905048702,-0.21568272912406,-0.6042204726898551,0.14002800840280047,-0.5773502691896258,0.7301893737020577,0.0,-1.049116858925713,0.0,0.0,1,5HT2C,560,dU(class),rec_gh,3,0,1
12,0.9073829294707475,2.1398105922837676,0.8349510269182109,0.7868307923446413,1.0898188356521643,-0.9621679921287387,0.020080337347147575,0.14002800840280047,-0.5773502691896258,0.2860975900112964,0.0,-0.6580482086601719,0.0,0.0,1,A2A,559,dE(class),rec_gh,3,0,1
13,0.8791565097119396,0.9588593019317062,0.5246422089059293,-0.32862278330981426,-0.1705042142082912,0.7247878021109562,0.0578243039382029,0.14002800840280047,-0.5773502691896258,-1.046177757952345,0.0,-1.049116858925713,0.0,0.0,1,A2A,328,dE,rec_gh,3,0,1
14,1.2427904660459606,2.1500352787803223,0.6822659459475715,-0.25611079643492907,1.1443149853728387,-0.4774936556810901,0.2513981079517803,0.14002800840280047,1.7320508075688774,1.6183729410835805,0.0,-1.049116858925713,0.0,0.0,1,A2A,561,dU(class),rec_gh,3,0,1
15,-0.28464745066315134,-0.7077645970067007,1.0839545277933682,0.4306295749037344,0.7480522838093894,-0.20588199272001217,0.1009273238695517,0.14002800840280047,-0.5773502691896258,0.2860975900112964,0.0,-0.26697955839463083,0.0,0.0,1,A2A,2,dU,rec_gh,6,1,1
